Ion signal for P950-Hf15x1 1, m/z=177
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	2.061726e-11	1.073655e-11
6.500000e+00	-5.280394e-12	1.073655e-11
1.290000e+01	4.004595e-12	1.073655e-11
1.940000e+01	-1.437726e-11	1.073655e-11
2.580000e+01	5.670932e-12	1.073655e-11
3.230000e+01	-6.949720e-12	1.073655e-11
3.880000e+01	1.755763e-11	1.073655e-11
4.520000e+01	1.543362e-11	1.073655e-11
5.170000e+01	1.448997e-11	1.073655e-11
5.810000e+01	1.274795e-11	1.073655e-11
6.460000e+01	1.170930e-11	1.073655e-11
7.100000e+01	7.071291e-12	1.073655e-11
7.750000e+01	1.315964e-11	1.073655e-11
8.390000e+01	-1.647447e-11	1.073655e-11
9.040000e+01	3.785976e-12	1.073655e-11
9.680000e+01	6.895965e-12	1.073655e-11
1.033000e+02	1.813831e-11	1.073655e-11
1.097000e+02	5.431302e-12	1.073655e-11
1.162000e+02	-1.034835e-11	1.073655e-11
1.226000e+02	-1.111836e-11	1.073655e-11
1.291000e+02	1.349099e-11	1.073655e-11
1.355000e+02	4.316976e-12	1.073655e-11
1.420000e+02	-1.492648e-11	1.073655e-11
1.484000e+02	4.651313e-12	1.073655e-11
1.549000e+02	-9.604339e-12	1.073655e-11
1.613000e+02	1.562665e-11	1.073655e-11
1.678000e+02	1.720998e-12	1.073655e-11
1.742000e+02	2.715987e-12	1.073655e-11
1.807000e+02	5.810336e-12	1.073655e-11
1.871000e+02	1.621532e-11	1.073655e-11
1.936000e+02	-1.697513e-11	1.073655e-11
2.000000e+02	1.442866e-11	1.073655e-11
2.065000e+02	-1.535029e-11	1.073655e-11
2.130000e+02	1.738836e-11	1.073655e-11
2.194000e+02	1.120335e-11	1.073655e-11
2.259000e+02	-1.305921e-11	1.073655e-11
2.323000e+02	-6.136316e-12	1.073655e-11
2.388000e+02	1.592803e-11	1.073655e-11
2.452000e+02	-1.782748e-11	1.073655e-11
2.517000e+02	-7.636631e-12	1.073655e-11
2.581000e+02	-1.624664e-11	1.073655e-11
2.646000e+02	-1.968269e-11	1.073655e-11
2.710000e+02	1.288969e-11	1.073655e-11
2.775000e+02	-6.720957e-12	1.073655e-11
2.839000e+02	6.743032e-12	1.073655e-11
2.904000e+02	6.895380e-12	1.073655e-11
2.968000e+02	8.573688e-13	1.073655e-11
3.033000e+02	1.357072e-11	1.073655e-11
3.097000e+02	-1.870859e-11	1.073655e-11
3.162000e+02	-1.907645e-11	1.073655e-11
3.226000e+02	1.227043e-12	1.073655e-11
3.291000e+02	5.450391e-12	1.073655e-11
3.355000e+02	1.085038e-11	1.073655e-11
3.420000e+02	-1.901527e-11	1.073655e-11
3.484000e+02	2.088717e-12	1.073655e-11
3.549000e+02	3.649065e-12	1.073655e-11
