Sum of corrected signals for P950-AlO2 1
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-4.845875e-10	5.543619e-10
6.400000e+00	1.117463e-09	5.543619e-10
1.290000e+01	-3.809376e-10	5.543619e-10
1.930000e+01	-4.053391e-10	5.543619e-10
2.580000e+01	2.761964e-10	5.543619e-10
3.220000e+01	-9.062140e-10	5.543619e-10
3.870000e+01	2.227168e-10	5.543619e-10
4.510000e+01	3.610923e-10	5.543619e-10
5.160000e+01	4.952602e-10	5.543619e-10
5.800000e+01	1.756007e-09	5.543619e-10
6.450000e+01	7.131182e-09	5.543619e-10
7.090000e+01	9.255533e-09	5.543619e-10
7.740000e+01	8.798892e-09	5.543619e-10
8.380000e+01	9.941243e-09	5.543619e-10
9.030000e+01	9.439142e-09	5.543619e-10
9.680000e+01	9.764279e-09	5.543619e-10
1.032000e+02	9.016469e-09	5.543619e-10
1.097000e+02	7.244248e-09	5.543619e-10
1.161000e+02	8.798974e-09	5.543619e-10
1.226000e+02	9.543820e-09	5.543619e-10
1.290000e+02	7.965270e-09	5.543619e-10
1.355000e+02	7.567009e-09	5.543619e-10
1.419000e+02	7.632391e-09	5.543619e-10
1.484000e+02	8.271294e-09	5.543619e-10
1.548000e+02	7.753765e-09	5.543619e-10
1.613000e+02	8.050265e-09	5.543619e-10
1.677000e+02	7.472621e-09	5.543619e-10
1.742000e+02	6.889903e-09	5.543619e-10
1.806000e+02	7.659303e-09	5.543619e-10
1.871000e+02	5.971420e-09	5.543619e-10
1.935000e+02	6.752014e-09	5.543619e-10
2.000000e+02	7.195908e-09	5.543619e-10
2.064000e+02	4.582993e-09	5.543619e-10
2.129000e+02	6.573588e-09	5.543619e-10
2.193000e+02	6.403629e-09	5.543619e-10
2.258000e+02	5.999623e-09	5.543619e-10
2.322000e+02	6.406367e-09	5.543619e-10
2.387000e+02	5.914075e-09	5.543619e-10
2.451000e+02	6.204990e-09	5.543619e-10
2.516000e+02	5.281800e-09	5.543619e-10
2.580000e+02	6.480237e-09	5.543619e-10
2.645000e+02	5.936587e-09	5.543619e-10
2.709000e+02	5.587519e-09	5.543619e-10
2.774000e+02	6.516589e-09	5.543619e-10
2.838000e+02	5.438647e-09	5.543619e-10
2.903000e+02	5.316517e-09	5.543619e-10
2.967000e+02	5.599042e-09	5.543619e-10
3.032000e+02	2.136025e-09	5.543619e-10
3.096000e+02	7.399240e-10	5.543619e-10
3.161000e+02	6.251940e-10	5.543619e-10
3.226000e+02	1.090933e-09	5.543619e-10
3.290000e+02	3.512640e-10	5.543619e-10
3.355000e+02	-1.434582e-10	5.543619e-10
3.419000e+02	3.898323e-10	5.543619e-10
3.484000e+02	-5.215236e-10	5.543619e-10
3.548000e+02	-7.112477e-10	5.543619e-10
