Ion signal for P950-Hf10x4 2, m/z=161
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-2.022793e-11	1.237898e-11
6.500000e+00	1.022230e-11	1.237898e-11
1.290000e+01	-1.638603e-11	1.237898e-11
1.940000e+01	-1.383931e-11	1.237898e-11
2.580000e+01	1.761406e-11	1.237898e-11
3.230000e+01	1.251568e-11	1.237898e-11
3.870000e+01	-1.010174e-11	1.237898e-11
4.520000e+01	1.555887e-11	1.237898e-11
5.160000e+01	7.728447e-12	1.237898e-11
5.810000e+01	-8.362937e-12	1.237898e-11
6.450000e+01	1.748764e-11	1.237898e-11
7.100000e+01	1.630225e-11	1.237898e-11
7.740000e+01	-1.760977e-11	1.237898e-11
8.390000e+01	-6.594554e-12	1.237898e-11
9.040000e+01	1.288006e-11	1.237898e-11
9.680000e+01	1.145564e-11	1.237898e-11
1.033000e+02	5.894254e-12	1.237898e-11
1.097000e+02	7.374830e-12	1.237898e-11
1.162000e+02	2.283446e-12	1.237898e-11
1.226000e+02	-1.710538e-11	1.237898e-11
1.291000e+02	1.436664e-11	1.237898e-11
1.355000e+02	1.222121e-11	1.237898e-11
1.420000e+02	-2.912171e-12	1.237898e-11
1.484000e+02	5.240438e-14	1.237898e-11
1.549000e+02	-1.217198e-11	1.237898e-11
1.613000e+02	6.447596e-12	1.237898e-11
1.678000e+02	6.741212e-12	1.237898e-11
1.742000e+02	-5.434212e-12	1.237898e-11
1.807000e+02	2.158403e-12	1.237898e-11
1.871000e+02	4.078979e-12	1.237898e-11
1.936000e+02	-1.124340e-11	1.237898e-11
2.000000e+02	-1.406073e-11	1.237898e-11
2.065000e+02	2.529787e-12	1.237898e-11
2.129000e+02	-6.998638e-12	1.237898e-11
2.194000e+02	-1.067022e-12	1.237898e-11
2.258000e+02	1.292255e-11	1.237898e-11
2.323000e+02	-1.720333e-11	1.237898e-11
2.387000e+02	-1.855075e-11	1.237898e-11
2.452000e+02	8.649361e-12	1.237898e-11
2.516000e+02	1.284594e-11	1.237898e-11
2.581000e+02	2.118553e-12	1.237898e-11
2.645000e+02	4.137129e-12	1.237898e-11
2.710000e+02	-1.849926e-11	1.237898e-11
2.774000e+02	1.484532e-11	1.237898e-11
2.839000e+02	3.463936e-12	1.237898e-11
2.904000e+02	3.585552e-12	1.237898e-11
2.968000e+02	6.110128e-12	1.237898e-11
3.033000e+02	1.057744e-12	1.237898e-11
3.097000e+02	1.687319e-12	1.237898e-11
3.162000e+02	-1.361806e-11	1.237898e-11
3.226000e+02	1.553051e-11	1.237898e-11
3.291000e+02	-6.748732e-13	1.237898e-11
3.355000e+02	1.216570e-11	1.237898e-11
3.420000e+02	-1.535368e-11	1.237898e-11
3.484000e+02	3.837894e-12	1.237898e-11
3.549000e+02	1.740510e-12	1.237898e-11
