Averaged ion signal for P950-AlO2, m/z=95
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	-3.277116e-12	5.836085e-12
6.400000e+00	-2.639432e-12	8.400046e-12
1.290000e+01	-5.426890e-12	1.728035e-12
1.930000e+01	-1.631010e-12	2.912030e-12
2.580000e+01	2.986532e-12	8.892041e-12
3.220000e+01	3.506912e-12	8.571394e-12
3.870000e+01	3.785454e-12	6.637617e-12
4.510000e+01	-1.354867e-11	6.544682e-12
5.160000e+01	4.894876e-12	5.308694e-12
5.800000e+01	4.160756e-12	4.913759e-12
6.450000e+01	8.492979e-13	4.905770e-12
7.090000e+01	4.861778e-13	3.700165e-12
7.740000e+01	-2.100780e-12	4.331346e-12
8.380000e+01	1.101100e-12	1.314411e-12
9.030000e+01	-1.741858e-12	2.549222e-13
9.680000e+01	4.929380e-12	1.374629e-12
1.032000e+02	1.745064e-12	3.641502e-12
1.097000e+02	-2.619199e-12	4.086295e-12
1.161000e+02	-1.157014e-12	1.054907e-11
1.226000e+02	-9.547766e-13	5.894782e-12
1.290000e+02	-6.401092e-12	6.453492e-13
1.355000e+02	-9.758547e-13	5.713358e-12
1.419000e+02	1.186829e-12	3.180227e-12
1.484000e+02	-8.421433e-12	1.039357e-11
1.548000e+02	2.407251e-12	4.689697e-12
1.613000e+02	-1.539511e-12	1.315301e-11
1.677000e+02	7.013173e-12	1.708794e-13
1.742000e+02	2.965911e-12	5.153914e-12
1.806000e+02	-4.214405e-12	2.075956e-12
1.871000e+02	-5.652667e-12	1.325984e-11
1.935000e+02	-6.324483e-12	1.203853e-11
2.000000e+02	3.617755e-12	8.662388e-13
2.064000e+02	1.292939e-12	7.010392e-12
2.129000e+02	-4.022823e-12	1.299431e-11
2.193000e+02	4.259361e-12	1.443159e-13
2.258000e+02	9.688099e-12	4.561891e-12
2.322000e+02	-2.290217e-12	1.102576e-11
2.387000e+02	7.952071e-14	5.335967e-12
2.451000e+02	-4.557295e-12	1.034066e-11
2.516000e+02	4.541943e-12	5.640435e-13
2.580000e+02	6.266127e-12	2.155587e-12
2.645000e+02	-4.398312e-13	3.604076e-12
2.709000e+02	5.509049e-12	3.719989e-12
2.774000e+02	1.527591e-12	6.501000e-12
2.838000e+02	1.147747e-11	4.893065e-12
2.903000e+02	-5.999873e-13	1.357924e-12
2.967000e+02	3.212393e-12	7.769641e-12
3.032000e+02	-1.369507e-11	8.408653e-12
3.096000e+02	-8.868555e-14	9.600217e-12
3.161000e+02	7.230357e-12	1.207287e-13
3.226000e+02	1.690943e-13	1.887936e-12
3.290000e+02	-4.052722e-12	1.681930e-11
3.355000e+02	5.136516e-12	8.059881e-13
3.419000e+02	4.375700e-12	5.390619e-12
3.484000e+02	-6.041062e-12	1.036491e-11
3.548000e+02	-5.163378e-12	2.933957e-12
