Sum of corrected signals for P950-InO2 2
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-1.506336e-09	3.078223e-10
6.400000e+00	-2.230967e-10	3.078223e-10
1.290000e+01	-8.471751e-12	3.078223e-10
1.940000e+01	6.200237e-10	3.078223e-10
2.580000e+01	-1.409659e-10	3.078223e-10
3.230000e+01	1.293570e-11	3.078223e-10
3.870000e+01	-2.992807e-10	3.078223e-10
4.520000e+01	2.671268e-11	3.078223e-10
5.160000e+01	-1.057537e-10	3.078223e-10
5.810000e+01	3.063936e-09	3.078223e-10
6.450000e+01	7.669598e-09	3.078223e-10
7.100000e+01	7.881315e-09	3.078223e-10
7.740000e+01	7.709244e-09	3.078223e-10
8.390000e+01	8.595781e-09	3.078223e-10
9.030000e+01	8.384736e-09	3.078223e-10
9.680000e+01	7.983383e-09	3.078223e-10
1.032000e+02	7.997013e-09	3.078223e-10
1.097000e+02	7.860336e-09	3.078223e-10
1.161000e+02	7.349413e-09	3.078223e-10
1.226000e+02	7.556460e-09	3.078223e-10
1.290000e+02	7.732537e-09	3.078223e-10
1.355000e+02	6.607109e-09	3.078223e-10
1.419000e+02	7.855587e-09	3.078223e-10
1.484000e+02	8.018822e-09	3.078223e-10
1.548000e+02	7.401880e-09	3.078223e-10
1.613000e+02	6.712630e-09	3.078223e-10
1.677000e+02	6.803059e-09	3.078223e-10
1.742000e+02	5.679847e-09	3.078223e-10
1.806000e+02	6.586019e-09	3.078223e-10
1.871000e+02	6.075304e-09	3.078223e-10
1.935000e+02	6.759646e-09	3.078223e-10
2.000000e+02	5.640734e-09	3.078223e-10
2.065000e+02	6.609764e-09	3.078223e-10
2.129000e+02	5.876660e-09	3.078223e-10
2.194000e+02	5.149053e-09	3.078223e-10
2.258000e+02	5.381160e-09	3.078223e-10
2.323000e+02	5.517185e-09	3.078223e-10
2.387000e+02	5.647466e-09	3.078223e-10
2.452000e+02	5.304596e-09	3.078223e-10
2.516000e+02	4.752703e-09	3.078223e-10
2.581000e+02	4.658350e-09	3.078223e-10
2.645000e+02	4.940349e-09	3.078223e-10
2.710000e+02	5.884744e-09	3.078223e-10
2.774000e+02	5.003997e-09	3.078223e-10
2.839000e+02	4.231271e-09	3.078223e-10
2.903000e+02	4.142434e-09	3.078223e-10
2.968000e+02	6.027479e-09	3.078223e-10
3.032000e+02	1.666060e-09	3.078223e-10
3.097000e+02	8.695369e-10	3.078223e-10
3.161000e+02	6.358773e-10	3.078223e-10
3.226000e+02	7.253560e-10	3.078223e-10
3.290000e+02	4.930949e-10	3.078223e-10
3.355000e+02	7.206346e-12	3.078223e-10
3.419000e+02	-6.639936e-11	3.078223e-10
3.484000e+02	-3.950462e-10	3.078223e-10
3.548000e+02	4.472084e-10	3.078223e-10
