Averaged ion signal for P950-InO2, m/z=167
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	3.638672e-12	1.454051e-11
6.500000e+00	-7.809793e-13	1.179455e-11
1.290000e+01	1.674003e-11	2.622343e-12
1.940000e+01	-9.520222e-12	1.664302e-12
2.580000e+01	-7.351165e-12	1.017174e-11
3.230000e+01	-1.485366e-12	1.186805e-11
3.870000e+01	2.619741e-12	1.027396e-11
4.520000e+01	-1.137151e-11	3.301398e-12
5.160000e+01	-1.355903e-12	9.760893e-12
5.810000e+01	2.179347e-12	2.117748e-12
6.450000e+01	4.984954e-12	1.381724e-11
7.100000e+01	4.896703e-12	3.975983e-13
7.740000e+01	-7.015190e-12	4.771406e-12
8.390000e+01	-9.884406e-13	1.105164e-14
9.030000e+01	9.813666e-12	4.625056e-12
9.680000e+01	-6.121584e-12	2.010702e-12
1.033000e+02	9.151164e-12	2.506524e-13
1.097000e+02	7.077209e-14	1.268485e-11
1.162000e+02	-5.279794e-13	1.291700e-11
1.226000e+02	9.566628e-12	5.890501e-12
1.291000e+02	-4.664723e-12	1.084725e-11
1.355000e+02	2.820985e-12	4.014651e-12
1.420000e+02	5.957233e-12	5.768203e-12
1.484000e+02	6.345841e-12	1.868699e-12
1.549000e+02	5.036090e-12	1.065447e-12
1.613000e+02	1.001420e-11	3.794511e-13
1.678000e+02	7.923946e-12	7.780903e-12
1.742000e+02	-6.289946e-12	5.500101e-12
1.807000e+02	-6.326348e-12	9.386897e-12
1.871000e+02	8.085910e-12	3.448751e-12
1.936000e+02	-6.211841e-12	6.146103e-12
2.000000e+02	-1.927538e-11	2.595849e-12
2.065000e+02	1.824016e-12	1.565445e-11
2.129000e+02	9.876623e-12	7.453949e-12
2.194000e+02	-7.936628e-12	5.222696e-12
2.258000e+02	1.064398e-11	3.906201e-12
2.323000e+02	-6.429272e-12	6.425846e-12
2.387000e+02	5.897835e-12	3.141150e-12
2.452000e+02	3.698585e-12	1.272504e-12
2.516000e+02	8.271692e-12	3.731500e-12
2.581000e+02	-5.717559e-12	3.723854e-12
2.645000e+02	6.900480e-13	7.112350e-12
2.710000e+02	-1.129703e-12	3.418204e-12
2.774000e+02	-7.985956e-13	9.691800e-12
2.839000e+02	5.226654e-12	1.229054e-12
2.903000e+02	1.220576e-11	3.770050e-12
2.968000e+02	-3.501490e-12	1.537060e-11
3.033000e+02	1.136676e-11	4.543258e-12
3.097000e+02	-1.179613e-11	3.224255e-12
3.162000e+02	-5.646885e-12	8.741109e-12
3.226000e+02	8.003223e-12	6.524105e-12
3.291000e+02	-3.788529e-12	3.426041e-12
3.355000e+02	-6.893771e-12	1.216940e-11
3.420000e+02	-3.870672e-12	1.140431e-11
3.484000e+02	1.433094e-11	3.261805e-12
3.549000e+02	-9.158816e-12	1.006166e-11
