Ion signal for P950-Hf10x4 1, m/z=27
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	1.506430e-11	1.468502e-11
6.500000e+00	1.593318e-11	1.468502e-11
1.290000e+01	3.708233e-12	1.468502e-11
1.940000e+01	-6.882884e-12	1.468502e-11
2.580000e+01	-2.234783e-11	1.468502e-11
3.230000e+01	-5.478946e-12	1.468502e-11
3.870000e+01	1.392611e-11	1.468502e-11
4.520000e+01	-1.795008e-12	1.468502e-11
5.160000e+01	-5.239953e-12	1.468502e-11
5.810000e+01	9.528930e-12	1.468502e-11
6.450000e+01	4.134398e-11	1.468502e-11
7.100000e+01	3.316287e-11	1.468502e-11
7.740000e+01	4.399792e-11	1.468502e-11
8.390000e+01	3.333681e-11	1.468502e-11
9.030000e+01	6.633186e-11	1.468502e-11
9.680000e+01	5.166074e-11	1.468502e-11
1.032000e+02	6.740580e-11	1.468502e-11
1.097000e+02	6.687468e-11	1.468502e-11
1.161000e+02	2.609974e-11	1.468502e-11
1.226000e+02	5.900862e-11	1.468502e-11
1.291000e+02	2.542750e-11	1.468502e-11
1.355000e+02	6.505256e-11	1.468502e-11
1.420000e+02	2.390144e-11	1.468502e-11
1.484000e+02	5.405649e-11	1.468502e-11
1.549000e+02	6.996538e-11	1.468502e-11
1.613000e+02	4.743043e-11	1.468502e-11
1.678000e+02	4.658932e-11	1.468502e-11
1.742000e+02	3.887437e-11	1.468502e-11
1.807000e+02	1.772325e-11	1.468502e-11
1.871000e+02	5.037831e-11	1.468502e-11
1.936000e+02	2.845719e-11	1.468502e-11
2.000000e+02	7.678225e-11	1.468502e-11
2.065000e+02	2.386113e-11	1.468502e-11
2.129000e+02	3.628618e-11	1.468502e-11
2.194000e+02	5.567507e-11	1.468502e-11
2.258000e+02	1.847012e-11	1.468502e-11
2.323000e+02	1.742900e-11	1.468502e-11
2.387000e+02	8.157406e-11	1.468502e-11
2.452000e+02	4.440294e-11	1.468502e-11
2.516000e+02	6.842800e-11	1.468502e-11
2.581000e+02	4.561688e-11	1.468502e-11
2.645000e+02	2.721193e-11	1.468502e-11
2.710000e+02	5.420082e-11	1.468502e-11
2.774000e+02	1.907587e-11	1.468502e-11
2.839000e+02	4.102476e-11	1.468502e-11
2.903000e+02	3.639981e-11	1.468502e-11
2.968000e+02	3.490869e-11	1.468502e-11
3.032000e+02	3.589375e-11	1.468502e-11
3.097000e+02	-4.857368e-12	1.468502e-11
3.161000e+02	1.023769e-11	1.468502e-11
3.226000e+02	3.356657e-11	1.468502e-11
3.290000e+02	2.564162e-11	1.468502e-11
3.355000e+02	-2.115949e-11	1.468502e-11
3.419000e+02	-3.584438e-12	1.468502e-11
3.484000e+02	2.444450e-13	1.468502e-11
3.548000e+02	-3.560501e-12	1.468502e-11
