Ion signal for P950-Hf15x1 2, m/z=87
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-1.417149e-12	1.038136e-11
6.400000e+00	6.603405e-12	1.038136e-11
1.290000e+01	8.996812e-12	1.038136e-11
1.930000e+01	6.954367e-12	1.038136e-11
2.580000e+01	-2.325963e-11	1.038136e-11
3.230000e+01	-7.058191e-13	1.038136e-11
3.870000e+01	1.297735e-12	1.038136e-11
4.520000e+01	2.132142e-12	1.038136e-11
5.160000e+01	1.009170e-11	1.038136e-11
5.810000e+01	4.717104e-12	1.038136e-11
6.450000e+01	5.316586e-13	1.038136e-11
7.100000e+01	2.162066e-12	1.038136e-11
7.740000e+01	1.051762e-11	1.038136e-11
8.390000e+01	1.742303e-11	1.038136e-11
9.030000e+01	8.094582e-12	1.038136e-11
9.680000e+01	1.113899e-11	1.038136e-11
1.032000e+02	-2.107316e-11	1.038136e-11
1.097000e+02	1.219503e-13	1.038136e-11
1.161000e+02	7.505049e-13	1.038136e-11
1.226000e+02	-1.675088e-12	1.038136e-11
1.290000e+02	-1.911793e-11	1.038136e-11
1.355000e+02	9.542873e-12	1.038136e-11
1.419000e+02	3.835428e-12	1.038136e-11
1.484000e+02	1.235484e-11	1.038136e-11
1.548000e+02	3.043896e-13	1.038136e-11
1.613000e+02	4.655797e-12	1.038136e-11
1.677000e+02	1.219835e-11	1.038136e-11
1.742000e+02	-7.822418e-13	1.038136e-11
1.806000e+02	1.403831e-11	1.038136e-11
1.871000e+02	4.802720e-12	1.038136e-11
1.936000e+02	1.700127e-12	1.038136e-11
2.000000e+02	1.341568e-11	1.038136e-11
2.065000e+02	1.081809e-11	1.038136e-11
2.129000e+02	-6.833571e-13	1.038136e-11
2.194000e+02	1.393605e-11	1.038136e-11
2.258000e+02	1.685260e-11	1.038136e-11
2.323000e+02	4.695011e-12	1.038136e-11
2.387000e+02	7.059566e-12	1.038136e-11
2.452000e+02	3.529973e-12	1.038136e-11
2.516000e+02	3.518528e-12	1.038136e-11
2.581000e+02	4.035935e-12	1.038136e-11
2.645000e+02	6.342489e-12	1.038136e-11
2.710000e+02	-7.795104e-12	1.038136e-11
2.774000e+02	1.859345e-11	1.038136e-11
2.839000e+02	-1.785874e-11	1.038136e-11
2.903000e+02	1.413841e-11	1.038136e-11
2.968000e+02	1.336182e-11	1.038136e-11
3.032000e+02	4.047374e-12	1.038136e-11
3.097000e+02	9.821781e-12	1.038136e-11
3.161000e+02	1.229534e-11	1.038136e-11
3.226000e+02	1.537874e-11	1.038136e-11
3.290000e+02	-1.612650e-11	1.038136e-11
3.355000e+02	3.203704e-12	1.038136e-11
3.419000e+02	4.739259e-12	1.038136e-11
3.484000e+02	8.296666e-12	1.038136e-11
3.548000e+02	9.345220e-12	1.038136e-11
