Ion signal for P950-Hf15x1 1, m/z=157
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-7.450659e-12	5.949082e-12
6.500000e+00	2.538637e-12	5.949082e-12
1.290000e+01	7.321666e-12	5.949082e-12
1.940000e+01	1.234962e-12	5.949082e-12
2.580000e+01	-1.165101e-11	5.949082e-12
3.230000e+01	7.700288e-12	5.949082e-12
3.880000e+01	-7.797416e-12	5.949082e-12
4.520000e+01	-1.089339e-11	5.949082e-12
5.170000e+01	-6.161091e-12	5.949082e-12
5.810000e+01	-2.313706e-11	5.949082e-12
6.460000e+01	-1.119477e-11	5.949082e-12
7.100000e+01	-8.365736e-12	5.949082e-12
7.750000e+01	-1.342844e-11	5.949082e-12
8.390000e+01	-3.107731e-11	5.949082e-12
9.040000e+01	-2.527311e-11	5.949082e-12
9.680000e+01	-9.845085e-12	5.949082e-12
1.033000e+02	-8.649789e-12	5.949082e-12
1.097000e+02	-9.897759e-12	5.949082e-12
1.162000e+02	-2.033846e-11	5.949082e-12
1.226000e+02	-4.384338e-13	5.949082e-12
1.291000e+02	-3.063604e-11	5.949082e-12
1.355000e+02	-5.846108e-12	5.949082e-12
1.420000e+02	-1.905981e-11	5.949082e-12
1.484000e+02	-4.821783e-12	5.949082e-12
1.549000e+02	-6.951487e-12	5.949082e-12
1.613000e+02	-1.081546e-11	5.949082e-12
1.678000e+02	-6.238162e-12	5.949082e-12
1.742000e+02	6.506868e-12	5.949082e-12
1.807000e+02	-1.024684e-11	5.949082e-12
1.871000e+02	-2.887861e-11	5.949082e-12
1.936000e+02	1.203549e-11	5.949082e-12
2.000000e+02	2.111519e-12	5.949082e-12
2.065000e+02	-1.014619e-11	5.949082e-12
2.130000e+02	3.767111e-12	5.949082e-12
2.194000e+02	4.621140e-12	5.949082e-12
2.259000e+02	3.613436e-12	5.949082e-12
2.323000e+02	5.288466e-12	5.949082e-12
2.388000e+02	-3.897238e-12	5.949082e-12
2.452000e+02	-2.403209e-12	5.949082e-12
2.517000e+02	-1.392091e-11	5.949082e-12
2.581000e+02	-1.652883e-12	5.949082e-12
2.646000e+02	7.206413e-12	5.949082e-12
2.710000e+02	-3.771558e-12	5.949082e-12
2.775000e+02	-1.733026e-11	5.949082e-12
2.839000e+02	-1.562123e-11	5.949082e-12
2.904000e+02	-1.991694e-11	5.949082e-12
2.968000e+02	-6.709907e-12	5.949082e-12
3.033000e+02	-1.232611e-12	5.949082e-12
3.097000e+02	-1.668758e-11	5.949082e-12
3.162000e+02	-9.010285e-12	5.949082e-12
3.226000e+02	9.219744e-12	5.949082e-12
3.291000e+02	1.445040e-12	5.949082e-12
3.355000e+02	8.580699e-13	5.949082e-12
3.420000e+02	-4.844634e-12	5.949082e-12
3.484000e+02	3.194395e-12	5.949082e-12
3.549000e+02	-7.989309e-12	5.949082e-12
