Ion signal for P950-AlO4 1, m/z=161
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-1.447043e-12	1.142432e-11
6.500000e+00	1.008625e-11	1.142432e-11
1.290000e+01	-1.914832e-11	1.142432e-11
1.940000e+01	1.529687e-11	1.142432e-11
2.580000e+01	-1.523080e-11	1.142432e-11
3.230000e+01	9.264492e-12	1.142432e-11
3.880000e+01	1.247886e-13	1.142432e-11
4.520000e+01	4.585111e-12	1.142432e-11
5.170000e+01	1.490141e-11	1.142432e-11
5.810000e+01	-2.075127e-11	1.142432e-11
6.460000e+01	1.432903e-11	1.142432e-11
7.100000e+01	3.514350e-12	1.142432e-11
7.750000e+01	-1.013536e-13	1.142432e-11
8.390000e+01	2.533969e-12	1.142432e-11
9.040000e+01	1.411266e-12	1.142432e-11
9.680000e+01	1.005859e-11	1.142432e-11
1.033000e+02	-1.774551e-11	1.142432e-11
1.097000e+02	5.772078e-13	1.142432e-11
1.162000e+02	6.011504e-12	1.142432e-11
1.226000e+02	-1.072417e-11	1.142432e-11
1.291000e+02	-2.512876e-12	1.142432e-11
1.355000e+02	1.083446e-12	1.142432e-11
1.420000e+02	-1.692257e-12	1.142432e-11
1.484000e+02	2.828066e-12	1.142432e-11
1.549000e+02	4.328362e-12	1.142432e-11
1.613000e+02	1.245068e-11	1.142432e-11
1.678000e+02	-9.562019e-12	1.142432e-11
1.742000e+02	1.688304e-12	1.142432e-11
1.807000e+02	6.916601e-12	1.142432e-11
1.871000e+02	9.369234e-13	1.142432e-11
1.936000e+02	-1.323678e-11	1.142432e-11
2.000000e+02	-2.131756e-11	1.142432e-11
2.065000e+02	-1.361116e-11	1.142432e-11
2.129000e+02	-1.860664e-11	1.142432e-11
2.194000e+02	3.953459e-12	1.142432e-11
2.258000e+02	7.557813e-13	1.142432e-11
2.323000e+02	2.199078e-12	1.142432e-11
2.387000e+02	-1.152860e-11	1.142432e-11
2.452000e+02	-2.210420e-11	1.142432e-11
2.516000e+02	-1.647298e-11	1.142432e-11
2.581000e+02	8.560316e-12	1.142432e-11
2.646000e+02	1.425161e-11	1.142432e-11
2.710000e+02	-8.369064e-12	1.142432e-11
2.775000e+02	1.059923e-11	1.142432e-11
2.839000e+02	1.071155e-11	1.142432e-11
2.904000e+02	1.281085e-11	1.142432e-11
2.968000e+02	-1.018826e-12	1.142432e-11
3.033000e+02	-4.755293e-13	1.142432e-11
3.097000e+02	1.979347e-14	1.142432e-11
3.162000e+02	-1.388591e-11	1.142432e-11
3.226000e+02	1.282041e-11	1.142432e-11
3.291000e+02	-5.132907e-13	1.142432e-11
3.355000e+02	-1.298397e-11	1.142432e-11
3.420000e+02	1.044033e-11	1.142432e-11
3.484000e+02	2.663651e-12	1.142432e-11
3.549000e+02	1.060948e-12	1.142432e-11
