Time	Averaged_Intensity	Std_Deviation
0.000000e+00	-6.412426e-10	9.940541e-10
6.500000e+00	-6.718299e-10	8.337172e-10
1.290000e+01	6.081007e-10	2.089093e-10
1.940000e+01	-1.180365e-10	1.935312e-10
2.580000e+01	-2.881885e-10	2.149236e-10
3.230000e+01	2.733829e-10	1.082919e-09
3.880000e+01	2.319454e-10	4.549183e-10
4.520000e+01	3.975831e-10	2.262059e-10
5.170000e+01	-5.362840e-11	1.174239e-09
5.810000e+01	2.807406e-09	7.969093e-11
6.460000e+01	6.596942e-09	4.103390e-10
7.100000e+01	7.936606e-09	5.022035e-10
7.750000e+01	8.283074e-09	1.109361e-09
8.390000e+01	8.177538e-09	1.232105e-10
9.040000e+01	7.829760e-09	1.722307e-10
9.680000e+01	6.938412e-09	3.768045e-10
1.033000e+02	8.283930e-09	4.318004e-10
1.097000e+02	7.532173e-09	7.219065e-11
1.162000e+02	7.311621e-09	4.292994e-10
1.226000e+02	7.100792e-09	1.175196e-09
1.291000e+02	6.326876e-09	6.494557e-10
1.355000e+02	7.708079e-09	2.814639e-10
1.420000e+02	6.777196e-09	1.142731e-09
1.484000e+02	6.886257e-09	1.313656e-10
1.549000e+02	5.923808e-09	3.173658e-10
1.613000e+02	6.298781e-09	1.421355e-10
1.678000e+02	6.713383e-09	3.675951e-10
1.742000e+02	6.090432e-09	1.223139e-10
1.807000e+02	6.389865e-09	4.430682e-10
1.871000e+02	6.579098e-09	3.626560e-10
1.936000e+02	5.452490e-09	1.600232e-10
2.000000e+02	5.953655e-09	2.402211e-10
2.065000e+02	5.513931e-09	3.096548e-10
2.130000e+02	5.781184e-09	6.009920e-10
2.194000e+02	5.740645e-09	8.330347e-10
2.259000e+02	5.237888e-09	4.679251e-10
2.323000e+02	5.187094e-09	4.356937e-10
2.388000e+02	5.860279e-09	4.325443e-11
2.452000e+02	4.969548e-09	9.465324e-10
2.517000e+02	5.299624e-09	4.747996e-10
2.581000e+02	5.154070e-09	5.760799e-11
2.646000e+02	4.659976e-09	6.859784e-11
2.710000e+02	4.937704e-09	3.970603e-10
2.775000e+02	4.867121e-09	3.118454e-10
2.839000e+02	4.594397e-09	7.555768e-10
2.904000e+02	4.205422e-09	9.235875e-11
2.968000e+02	4.963766e-09	1.947372e-12
3.033000e+02	2.293016e-09	4.274970e-10
3.097000e+02	1.096333e-09	4.004374e-10
3.162000e+02	5.924887e-10	6.258691e-10
3.226000e+02	8.321985e-10	1.686634e-10
3.291000e+02	-2.045523e-10	9.467989e-10
3.355000e+02	-3.101385e-11	1.105649e-09
3.420000e+02	5.678040e-10	1.468064e-10
3.484000e+02	-3.676119e-10	7.471177e-11
3.549000e+02	-1.799810e-10	2.058706e-10
