Ion signal for P950-InO2 2, m/z=169
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-1.358263e-11	1.103964e-11
6.400000e+00	2.878972e-12	1.103964e-11
1.290000e+01	6.201531e-12	1.103964e-11
1.940000e+01	1.454509e-11	1.103964e-11
2.580000e+01	4.937396e-12	1.103964e-11
3.230000e+01	-1.842644e-11	1.103964e-11
3.870000e+01	-1.169174e-11	1.103964e-11
4.520000e+01	1.487082e-11	1.103964e-11
5.160000e+01	6.762124e-12	1.103964e-11
5.810000e+01	1.909968e-11	1.103964e-11
6.450000e+01	3.227989e-12	1.103964e-11
7.100000e+01	1.298155e-11	1.103964e-11
7.740000e+01	-1.839295e-11	1.103964e-11
8.390000e+01	1.671741e-11	1.103964e-11
9.030000e+01	1.882718e-12	1.103964e-11
9.680000e+01	2.514277e-12	1.103964e-11
1.032000e+02	1.524358e-11	1.103964e-11
1.097000e+02	-7.243858e-12	1.103964e-11
1.161000e+02	-1.933015e-11	1.103964e-11
1.226000e+02	1.567601e-11	1.103964e-11
1.290000e+02	1.531311e-12	1.103964e-11
1.355000e+02	9.198706e-13	1.103964e-11
1.419000e+02	2.833175e-12	1.103964e-11
1.484000e+02	-1.152127e-11	1.103964e-11
1.548000e+02	3.085040e-12	1.103964e-11
1.613000e+02	-1.970990e-11	1.103964e-11
1.677000e+02	1.009290e-11	1.103964e-11
1.742000e+02	1.376546e-11	1.103964e-11
1.806000e+02	7.868769e-12	1.103964e-11
1.871000e+02	9.619328e-12	1.103964e-11
1.935000e+02	3.751633e-12	1.103964e-11
2.000000e+02	1.334019e-11	1.103964e-11
2.065000e+02	2.005752e-12	1.103964e-11
2.129000e+02	-1.284294e-11	1.103964e-11
2.194000e+02	9.083617e-12	1.103964e-11
2.258000e+02	2.919215e-13	1.103964e-11
2.323000e+02	-1.755189e-13	1.103964e-11
2.387000e+02	2.679786e-12	1.103964e-11
2.452000e+02	1.076235e-11	1.103964e-11
2.516000e+02	-4.923497e-13	1.103964e-11
2.581000e+02	-1.615790e-12	1.103964e-11
2.645000e+02	9.255515e-12	1.103964e-11
2.710000e+02	8.514074e-12	1.103964e-11
2.774000e+02	1.260138e-11	1.103964e-11
2.839000e+02	5.013939e-12	1.103964e-11
2.903000e+02	-2.276396e-11	1.103964e-11
2.968000e+02	-1.547620e-11	1.103964e-11
3.032000e+02	-2.229409e-11	1.103964e-11
3.097000e+02	2.350668e-12	1.103964e-11
3.161000e+02	-2.553028e-12	1.103964e-11
3.226000e+02	-3.254468e-12	1.103964e-11
3.290000e+02	1.095684e-11	1.103964e-11
3.355000e+02	-1.205460e-11	1.103964e-11
3.419000e+02	-8.444299e-12	1.103964e-11
3.484000e+02	1.109726e-11	1.103964e-11
3.548000e+02	-2.098434e-12	1.103964e-11
