Ion signal for P950-AlO2 2, m/z=137
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-1.143096e-11	1.215877e-11
6.500000e+00	-1.632006e-11	1.215877e-11
1.300000e+01	-1.280996e-11	1.215877e-11
1.940000e+01	5.035895e-12	1.215877e-11
2.590000e+01	1.657409e-11	1.215877e-11
3.230000e+01	-8.162450e-12	1.215877e-11
3.880000e+01	1.716075e-11	1.215877e-11
4.520000e+01	-1.363170e-11	1.215877e-11
5.170000e+01	-9.252697e-12	1.215877e-11
5.810000e+01	1.924386e-11	1.215877e-11
6.460000e+01	9.220576e-13	1.215877e-11
7.100000e+01	-1.197479e-11	1.215877e-11
7.750000e+01	5.499713e-12	1.215877e-11
8.390000e+01	-1.307163e-11	1.215877e-11
9.040000e+01	1.116637e-11	1.215877e-11
9.680000e+01	7.586824e-12	1.215877e-11
1.033000e+02	1.672102e-11	1.215877e-11
1.097000e+02	6.282479e-12	1.215877e-11
1.162000e+02	1.883668e-11	1.215877e-11
1.226000e+02	-1.679657e-11	1.215877e-11
1.291000e+02	4.992332e-12	1.215877e-11
1.355000e+02	-1.356011e-11	1.215877e-11
1.420000e+02	2.027699e-11	1.215877e-11
1.484000e+02	-1.583586e-11	1.215877e-11
1.549000e+02	1.119564e-11	1.215877e-11
1.613000e+02	-1.184190e-11	1.215877e-11
1.678000e+02	6.678297e-12	1.215877e-11
1.742000e+02	1.835575e-11	1.215877e-11
1.807000e+02	1.083895e-11	1.215877e-11
1.871000e+02	1.186841e-11	1.215877e-11
1.936000e+02	3.723606e-12	1.215877e-11
2.000000e+02	1.006906e-11	1.215877e-11
2.065000e+02	-8.596739e-12	1.215877e-11
2.129000e+02	6.686718e-12	1.215877e-11
2.194000e+02	1.467892e-11	1.215877e-11
2.258000e+02	2.763373e-12	1.215877e-11
2.323000e+02	-1.007543e-11	1.215877e-11
2.387000e+02	1.213503e-11	1.215877e-11
2.452000e+02	-1.642287e-11	1.215877e-11
2.516000e+02	2.465683e-12	1.215877e-11
2.581000e+02	-1.637172e-11	1.215877e-11
2.646000e+02	-1.537662e-11	1.215877e-11
2.710000e+02	1.092954e-11	1.215877e-11
2.775000e+02	-1.827127e-11	1.215877e-11
2.839000e+02	-6.012809e-12	1.215877e-11
2.904000e+02	8.635389e-12	1.215877e-11
2.968000e+02	1.868385e-11	1.215877e-11
3.033000e+02	9.710044e-12	1.215877e-11
3.097000e+02	4.928500e-12	1.215877e-11
3.162000e+02	-7.233015e-13	1.215877e-11
3.226000e+02	1.332616e-11	1.215877e-11
3.291000e+02	2.550353e-12	1.215877e-11
3.355000e+02	1.367081e-11	1.215877e-11
3.420000e+02	-1.313389e-11	1.215877e-11
3.484000e+02	-4.565535e-12	1.215877e-11
3.549000e+02	7.855663e-12	1.215877e-11
