Ion signal for P950-Hf15x1 2, m/z=86
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	1.264707e-12	8.588087e-12
6.400000e+00	1.127142e-11	8.588087e-12
1.290000e+01	-2.074867e-12	8.588087e-12
1.930000e+01	2.962848e-12	8.588087e-12
2.580000e+01	2.702558e-12	8.588087e-12
3.230000e+01	-2.074143e-11	8.588087e-12
3.870000e+01	5.059983e-12	8.588087e-12
4.520000e+01	1.844694e-12	8.588087e-12
5.160000e+01	-1.465591e-12	8.588087e-12
5.810000e+01	8.621119e-12	8.588087e-12
6.450000e+01	1.254483e-11	8.588087e-12
7.100000e+01	2.618545e-12	8.588087e-12
7.740000e+01	2.482598e-13	8.588087e-12
8.390000e+01	8.525970e-12	8.588087e-12
9.030000e+01	-1.260315e-12	8.588087e-12
9.680000e+01	1.408396e-12	8.588087e-12
1.032000e+02	8.351108e-13	8.588087e-12
1.097000e+02	-1.480179e-12	8.588087e-12
1.161000e+02	7.155362e-13	8.588087e-12
1.226000e+02	1.347225e-11	8.588087e-12
1.290000e+02	-6.540383e-13	8.588087e-12
1.355000e+02	9.136722e-13	8.588087e-12
1.419000e+02	1.733871e-13	8.588087e-12
1.484000e+02	7.046098e-12	8.588087e-12
1.548000e+02	9.479813e-12	8.588087e-12
1.613000e+02	-3.142477e-12	8.588087e-12
1.677000e+02	8.200238e-12	8.588087e-12
1.742000e+02	-8.630051e-12	8.588087e-12
1.806000e+02	4.906663e-12	8.588087e-12
1.871000e+02	-4.198626e-12	8.588087e-12
1.936000e+02	-5.355916e-12	8.588087e-12
2.000000e+02	8.133799e-12	8.588087e-12
2.065000e+02	4.282510e-12	8.588087e-12
2.129000e+02	1.443225e-12	8.588087e-12
2.194000e+02	-1.159065e-12	8.588087e-12
2.258000e+02	-2.069350e-12	8.588087e-12
2.323000e+02	-6.323639e-12	8.588087e-12
2.387000e+02	-3.113924e-12	8.588087e-12
2.452000e+02	-5.434214e-12	8.588087e-12
2.516000e+02	-2.092499e-12	8.588087e-12
2.581000e+02	5.303212e-12	8.588087e-12
2.645000e+02	1.472927e-12	8.588087e-12
2.710000e+02	-2.400836e-11	8.588087e-12
2.774000e+02	-3.576479e-13	8.588087e-12
2.839000e+02	-2.885204e-11	8.588087e-12
2.903000e+02	1.131378e-11	8.588087e-12
2.968000e+02	-4.889512e-12	8.588087e-12
3.032000e+02	-1.012080e-11	8.588087e-12
3.097000e+02	-7.359086e-12	8.588087e-12
3.161000e+02	4.337629e-12	8.588087e-12
3.226000e+02	4.990339e-12	8.588087e-12
3.290000e+02	-6.086946e-12	8.588087e-12
3.355000e+02	4.043764e-12	8.588087e-12
3.419000e+02	7.628479e-12	8.588087e-12
3.484000e+02	-4.765810e-12	8.588087e-12
3.548000e+02	-1.326095e-12	8.588087e-12
