Averaged ion signal for P950-AlO4, m/z=133
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	3.171038e-12	2.287382e-12
6.500000e+00	-1.224861e-11	5.227689e-12
1.290000e+01	-9.333960e-12	3.213108e-12
1.940000e+01	8.287345e-12	2.949949e-12
2.580000e+01	8.047542e-12	6.841901e-12
3.230000e+01	-5.281003e-12	7.572892e-12
3.880000e+01	1.212155e-11	4.948591e-12
4.520000e+01	9.180850e-12	4.494532e-12
5.170000e+01	7.021048e-12	7.117418e-12
5.810000e+01	-1.030598e-12	1.308847e-11
6.460000e+01	4.141551e-12	1.217457e-11
7.100000e+01	-2.569960e-13	1.885734e-11
7.750000e+01	1.536155e-11	1.569937e-12
8.390000e+01	1.010636e-11	8.010496e-12
9.040000e+01	-4.679450e-13	9.133054e-12
9.680000e+01	-1.116574e-11	4.811095e-12
1.033000e+02	1.054806e-11	2.928456e-12
1.097000e+02	-1.483159e-11	1.915165e-12
1.162000e+02	6.058559e-12	2.958465e-12
1.226000e+02	1.444036e-11	5.494024e-12
1.291000e+02	5.123562e-12	2.279746e-13
1.355000e+02	-3.334872e-15	1.709617e-11
1.420000e+02	1.127956e-11	1.030148e-11
1.484000e+02	9.511367e-12	6.831957e-12
1.549000e+02	-7.369584e-12	1.121216e-11
1.613000e+02	5.091370e-12	1.263448e-12
1.678000e+02	-1.416268e-11	3.447753e-12
1.742000e+02	1.237427e-11	6.319045e-12
1.807000e+02	7.276071e-12	3.489512e-12
1.871000e+02	2.978267e-12	6.008465e-12
1.936000e+02	-9.173027e-12	1.293808e-11
2.000000e+02	-3.998230e-12	7.473526e-12
2.065000e+02	-6.551425e-12	8.706969e-12
2.129000e+02	7.305772e-12	1.631016e-12
2.194000e+02	7.311577e-12	4.628459e-12
2.258000e+02	-5.383226e-12	3.264493e-12
2.323000e+02	5.610795e-13	3.901450e-12
2.387000e+02	-2.425724e-12	7.712502e-12
2.452000e+02	4.778082e-12	8.221941e-12
2.516000e+02	-8.222521e-12	9.913812e-12
2.581000e+02	4.208584e-12	7.086931e-12
2.646000e+02	1.083878e-11	2.550981e-12
2.710000e+02	1.151086e-12	7.555922e-12
2.775000e+02	8.442285e-12	9.644971e-12
2.839000e+02	-9.370412e-12	1.399123e-13
2.904000e+02	2.080787e-12	5.363962e-12
2.968000e+02	5.559066e-14	3.899403e-12
3.033000e+02	3.322289e-12	9.253952e-12
3.097000e+02	6.720593e-12	1.218107e-12
3.162000e+02	-2.195708e-12	1.745644e-11
3.226000e+02	-2.527355e-12	9.553566e-12
3.291000e+02	-2.493706e-12	2.341934e-12
3.355000e+02	-7.108053e-12	9.494775e-12
3.420000e+02	8.297296e-12	5.995424e-12
3.484000e+02	-2.884004e-13	4.423652e-13
3.549000e+02	1.149580e-11	6.050415e-12
