Averaged ion signal for P950-Hf10x4, m/z=36
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	-1.041393e-11	5.021243e-12
6.500000e+00	-2.925099e-12	2.183513e-12
1.290000e+01	5.548510e-12	1.076773e-11
1.940000e+01	-7.656161e-12	2.055211e-13
2.580000e+01	1.905948e-12	7.425773e-12
3.230000e+01	3.019277e-12	5.454971e-12
3.870000e+01	3.943856e-13	6.793281e-12
4.520000e+01	-1.294329e-11	1.865537e-12
5.160000e+01	1.553233e-13	1.105671e-11
5.810000e+01	2.399652e-12	2.995454e-13
6.450000e+01	1.127226e-11	6.887025e-13
7.100000e+01	-7.123910e-12	8.990536e-13
7.740000e+01	-1.708301e-12	1.082081e-11
8.390000e+01	8.217028e-12	2.451062e-12
9.030000e+01	1.022488e-13	4.542426e-12
9.680000e+01	8.276966e-12	7.759070e-12
1.032000e+02	-2.587313e-12	3.959066e-12
1.097000e+02	4.419034e-13	1.877922e-12
1.161000e+02	1.076612e-11	5.667558e-12
1.226000e+02	5.603841e-12	1.124991e-11
1.291000e+02	7.106703e-13	6.820842e-12
1.355000e+02	-7.081221e-12	3.776094e-12
1.420000e+02	-7.297392e-12	1.024850e-12
1.484000e+02	4.871217e-12	3.967398e-12
1.549000e+02	-7.294542e-13	1.474858e-12
1.613000e+02	1.052865e-11	1.053110e-12
1.678000e+02	6.557984e-12	2.918633e-12
1.742000e+02	1.200009e-11	9.689619e-12
1.807000e+02	3.996421e-12	2.072875e-12
1.871000e+02	1.182903e-11	4.046627e-12
1.936000e+02	1.505986e-11	1.872617e-12
2.000000e+02	3.668968e-12	7.431365e-12
2.065000e+02	-5.362703e-12	2.843891e-12
2.129000e+02	1.183691e-11	4.973643e-12
2.194000e+02	6.752346e-13	9.161010e-13
2.258000e+02	-2.629157e-12	2.849651e-12
2.323000e+02	1.319367e-11	4.540407e-12
2.387000e+02	-1.182190e-13	2.812659e-12
2.452000e+02	1.111911e-11	1.307392e-11
2.516000e+02	-9.352813e-13	3.659333e-12
2.581000e+02	6.275548e-12	3.958423e-12
2.645000e+02	1.450656e-12	2.914676e-12
2.710000e+02	7.769486e-12	9.268568e-12
2.774000e+02	3.550094e-12	8.832184e-12
2.839000e+02	1.497992e-11	5.766060e-12
2.903000e+02	1.077464e-11	1.732980e-11
2.968000e+02	3.401861e-12	1.100052e-12
3.032000e+02	-2.520918e-12	4.122312e-12
3.097000e+02	-3.801701e-12	1.101456e-12
3.161000e+02	6.201020e-12	6.276798e-13
3.226000e+02	5.767237e-12	5.205536e-12
3.290000e+02	-3.847043e-12	4.152328e-12
3.355000e+02	6.301744e-13	2.905528e-12
3.419000e+02	5.025895e-12	3.024664e-12
3.484000e+02	-2.095888e-12	1.392480e-12
3.548000e+02	7.039833e-12	9.511345e-12
