Ion signal for bare Si BNL 2, m/z=193
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-5.083105e-12	5.856275e-12
6.500000e+00	-2.045529e-12	5.856275e-12
1.290000e+01	-9.573301e-12	5.856275e-12
1.940000e+01	8.821274e-12	5.856275e-12
2.580000e+01	5.405502e-12	5.856275e-12
3.230000e+01	8.550775e-13	5.856275e-12
3.870000e+01	-3.577694e-12	5.856275e-12
4.520000e+01	-8.721191e-13	5.856275e-12
5.160000e+01	-2.353891e-12	5.856275e-12
5.810000e+01	-2.745772e-11	5.856275e-12
6.450000e+01	-4.682088e-12	5.856275e-12
7.100000e+01	-7.636512e-12	5.856275e-12
7.750000e+01	-4.754937e-12	5.856275e-12
8.390000e+01	-1.744709e-12	5.856275e-12
9.040000e+01	-1.806613e-11	5.856275e-12
9.680000e+01	5.097094e-12	5.856275e-12
1.033000e+02	-2.265723e-11	5.856275e-12
1.097000e+02	2.292898e-12	5.856275e-12
1.162000e+02	-2.506983e-11	5.856275e-12
1.226000e+02	-1.917730e-11	5.856275e-12
1.291000e+02	3.290276e-12	5.856275e-12
1.355000e+02	9.002504e-12	5.856275e-12
1.420000e+02	-2.995920e-12	5.856275e-12
1.484000e+02	-2.801989e-11	5.856275e-12
1.549000e+02	-2.646502e-11	5.856275e-12
1.613000e+02	2.319111e-12	5.856275e-12
1.678000e+02	-2.129431e-11	5.856275e-12
1.742000e+02	5.202914e-12	5.856275e-12
1.807000e+02	-2.478421e-11	5.856275e-12
1.871000e+02	1.281372e-11	5.856275e-12
1.936000e+02	-2.649571e-11	5.856275e-12
2.000000e+02	-5.548479e-12	5.856275e-12
2.065000e+02	-3.639903e-12	5.856275e-12
2.129000e+02	-4.814675e-12	5.856275e-12
2.194000e+02	-2.794440e-11	5.856275e-12
2.258000e+02	-3.714872e-12	5.856275e-12
2.323000e+02	-6.892297e-12	5.856275e-12
2.387000e+02	-7.525069e-12	5.856275e-12
2.452000e+02	-7.535493e-12	5.856275e-12
2.516000e+02	-1.233027e-11	5.856275e-12
2.581000e+02	3.871310e-12	5.856275e-12
2.645000e+02	-1.790646e-11	5.856275e-12
2.710000e+02	6.733113e-12	5.856275e-12
2.774000e+02	-8.482659e-12	5.856275e-12
2.839000e+02	-6.374083e-12	5.856275e-12
2.903000e+02	3.855145e-12	5.856275e-12
2.968000e+02	-2.223528e-11	5.856275e-12
3.032000e+02	-2.912575e-11	5.856275e-12
3.097000e+02	-2.861498e-11	5.856275e-12
3.161000e+02	-8.162486e-13	5.856275e-12
3.226000e+02	-5.441673e-12	5.856275e-12
3.291000e+02	2.657902e-12	5.856275e-12
3.355000e+02	1.251130e-12	5.856275e-12
3.420000e+02	5.543705e-12	5.856275e-12
3.484000e+02	-9.338067e-12	5.856275e-12
3.549000e+02	1.871509e-12	5.856275e-12
