Ion signal for P950-Hf10x4 1, m/z=29
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	5.902905e-11	1.446067e-11
6.500000e+00	6.509930e-12	1.446067e-11
1.290000e+01	1.886987e-11	1.446067e-11
1.940000e+01	-1.687924e-11	1.446067e-11
2.580000e+01	9.900699e-12	1.446067e-11
3.230000e+01	-1.523842e-11	1.446067e-11
3.870000e+01	-5.658476e-12	1.446067e-11
4.520000e+01	-3.935759e-11	1.446067e-11
5.160000e+01	-2.521765e-11	1.446067e-11
5.810000e+01	1.227632e-10	1.446067e-11
6.450000e+01	5.405632e-10	1.446067e-11
7.100000e+01	5.867241e-10	1.446067e-11
7.740000e+01	6.377840e-10	1.446067e-11
8.390000e+01	6.019449e-10	1.446067e-11
9.030000e+01	6.008048e-10	1.446067e-11
9.680000e+01	5.744657e-10	1.446067e-11
1.032000e+02	5.736256e-10	1.446067e-11
1.097000e+02	5.782865e-10	1.446067e-11
1.161000e+02	5.783465e-10	1.446067e-11
1.226000e+02	5.482074e-10	1.446067e-11
1.291000e+02	5.230682e-10	1.446067e-11
1.355000e+02	5.587282e-10	1.446067e-11
1.420000e+02	4.951891e-10	1.446067e-11
1.484000e+02	5.249490e-10	1.446067e-11
1.549000e+02	5.153099e-10	1.446067e-11
1.613000e+02	4.859698e-10	1.446067e-11
1.678000e+02	4.717307e-10	1.446067e-11
1.742000e+02	4.704907e-10	1.446067e-11
1.807000e+02	4.488515e-10	1.446067e-11
1.871000e+02	4.164815e-10	1.446067e-11
1.936000e+02	4.303724e-10	1.446067e-11
2.000000e+02	4.259623e-10	1.446067e-11
2.065000e+02	4.258032e-10	1.446067e-11
2.129000e+02	4.062431e-10	1.446067e-11
2.194000e+02	4.065940e-10	1.446067e-11
2.258000e+02	4.377740e-10	1.446067e-11
2.323000e+02	4.044248e-10	1.446067e-11
2.387000e+02	3.872148e-10	1.446067e-11
2.452000e+02	4.032857e-10	1.446067e-11
2.516000e+02	3.934256e-10	1.446067e-11
2.581000e+02	3.527365e-10	1.446067e-11
2.645000e+02	3.758864e-10	1.446067e-11
2.710000e+02	4.174173e-10	1.446067e-11
2.774000e+02	3.602173e-10	1.446067e-11
2.839000e+02	3.647481e-10	1.446067e-11
2.903000e+02	3.144881e-10	1.446067e-11
2.968000e+02	3.786790e-10	1.446067e-11
3.032000e+02	1.138389e-10	1.446067e-11
3.097000e+02	5.333979e-11	1.446067e-11
3.161000e+02	2.752973e-11	1.446067e-11
3.226000e+02	1.314061e-11	1.446067e-11
3.290000e+02	2.515056e-11	1.446067e-11
3.355000e+02	1.061437e-12	1.446067e-11
3.419000e+02	-1.993862e-11	1.446067e-11
3.484000e+02	-3.777738e-12	1.446067e-11
3.548000e+02	-1.336779e-11	1.446067e-11
