Averaged TEY data for P950-InO2
Time(s)	MeanTEY	Std
1.432753e+01	1.834126e-06	1.777199e-08
1.443444e+01	1.855421e-06	1.874023e-08
1.454481e+01	1.843634e-06	7.503050e-09
1.465308e+01	1.826897e-06	3.696878e-09
1.476108e+01	1.853898e-06	3.015144e-08
1.486791e+01	1.850102e-06	2.081743e-08
1.497714e+01	1.845529e-06	3.471757e-08
1.508497e+01	1.869120e-06	1.397357e-08
1.519146e+01	1.858087e-06	3.702142e-09
1.530058e+01	1.829554e-06	3.243694e-08
1.540978e+01	1.842490e-06	8.852993e-09
1.551557e+01	1.823854e-06	6.533726e-10
1.562387e+01	1.869111e-06	3.699588e-08
1.573170e+01	1.834890e-06	4.287593e-08
1.583938e+01	1.844385e-06	5.639850e-08
1.594634e+01	1.847439e-06	1.815459e-08
1.605440e+01	1.825757e-06	7.120358e-09
1.616374e+01	1.829932e-06	5.031457e-08
1.627209e+01	1.865311e-06	1.569569e-08
1.638037e+01	1.811300e-06	6.574643e-09
1.648689e+01	1.854278e-06	3.129260e-08
1.659338e+01	1.832986e-06	2.119488e-08
1.670246e+01	1.794946e-06	6.490399e-10
1.681186e+01	1.877864e-06	1.759564e-08
1.692020e+01	1.836029e-06	2.271656e-08
1.702836e+01	1.821570e-06	9.236141e-09
1.713568e+01	1.856944e-06	1.037206e-08
1.724343e+01	1.833368e-06	3.755081e-08
1.735314e+01	1.833738e-06	3.357812e-08
1.745995e+01	1.872539e-06	8.467297e-09
1.756669e+01	1.829939e-06	4.670608e-09
1.767396e+01	1.840966e-06	2.482790e-08
1.778261e+01	1.810165e-06	3.032060e-08
1.789143e+01	1.834122e-06	8.853657e-09
1.800046e+01	1.866454e-06	6.186365e-09
1.810719e+01	1.845540e-06	3.983447e-08
1.821747e+01	1.829941e-06	1.130466e-08
1.832788e+01	1.855806e-06	9.026693e-09
1.843615e+01	1.839449e-06	5.600591e-09
1.854512e+01	1.855041e-06	1.759966e-08
