Ion signal for P950-AlO4 1, m/z=69
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-1.481210e-12	4.989163e-12
6.500000e+00	7.906023e-15	4.989163e-12
1.290000e+01	-6.610642e-12	4.989163e-12
1.940000e+01	9.972474e-12	4.989163e-12
2.580000e+01	2.714927e-12	4.989163e-12
3.230000e+01	-7.241958e-12	4.989163e-12
3.880000e+01	9.451581e-13	4.989163e-12
4.520000e+01	-3.697390e-12	4.989163e-12
5.170000e+01	-1.140274e-12	4.989163e-12
5.810000e+01	-5.789821e-12	4.989163e-12
6.460000e+01	3.042944e-13	4.989163e-12
7.100000e+01	4.397468e-13	4.989163e-12
7.750000e+01	5.168626e-13	4.989163e-12
8.390000e+01	6.309315e-12	4.989163e-12
9.040000e+01	1.315431e-12	4.989163e-12
9.680000e+01	-3.247117e-12	4.989163e-12
1.033000e+02	5.848999e-12	4.989163e-12
1.097000e+02	8.946451e-12	4.989163e-12
1.162000e+02	-9.343297e-14	4.989163e-12
1.226000e+02	9.265019e-12	4.989163e-12
1.291000e+02	-1.629865e-12	4.989163e-12
1.355000e+02	2.568159e-11	4.989163e-12
1.420000e+02	1.161070e-11	4.989163e-12
1.484000e+02	4.270156e-12	4.989163e-12
1.549000e+02	1.349227e-11	4.989163e-12
1.613000e+02	2.029072e-11	4.989163e-12
1.678000e+02	1.560784e-11	4.989163e-12
1.742000e+02	4.430292e-12	4.989163e-12
1.807000e+02	3.791408e-12	4.989163e-12
1.871000e+02	2.059986e-11	4.989163e-12
1.936000e+02	1.590898e-11	4.989163e-12
2.000000e+02	-3.181572e-12	4.989163e-12
2.065000e+02	7.945544e-12	4.989163e-12
2.129000e+02	8.482997e-12	4.989163e-12
2.194000e+02	4.704112e-12	4.989163e-12
2.258000e+02	8.144565e-12	4.989163e-12
2.323000e+02	8.707680e-12	4.989163e-12
2.387000e+02	9.217133e-12	4.989163e-12
2.452000e+02	7.242249e-12	4.989163e-12
2.516000e+02	4.587010e-13	4.989163e-12
2.581000e+02	-8.721832e-13	4.989163e-12
2.646000e+02	5.309933e-12	4.989163e-12
2.710000e+02	1.131038e-11	4.989163e-12
2.775000e+02	1.281050e-11	4.989163e-12
2.839000e+02	1.073395e-11	4.989163e-12
2.904000e+02	9.294069e-12	4.989163e-12
2.968000e+02	1.345952e-11	4.989163e-12
3.033000e+02	-1.265236e-11	4.989163e-12
3.097000e+02	-1.231911e-12	4.989163e-12
3.162000e+02	8.406205e-12	4.989163e-12
3.226000e+02	5.454658e-12	4.989163e-12
3.291000e+02	5.107773e-12	4.989163e-12
3.355000e+02	-1.345774e-12	4.989163e-12
3.420000e+02	-4.104659e-12	4.989163e-12
3.484000e+02	5.547939e-13	4.989163e-12
3.549000e+02	4.639096e-13	4.989163e-12
