Averaged ion signal for P950-InO2, m/z=56
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	4.472303e-12	4.176696e-12
6.500000e+00	-2.867697e-12	1.988769e-12
1.290000e+01	-2.103023e-12	5.603995e-13
1.940000e+01	1.696231e-12	4.396611e-12
2.580000e+01	-3.863350e-12	4.249542e-14
3.230000e+01	4.900905e-12	1.196293e-12
3.870000e+01	2.321324e-12	6.030409e-12
4.520000e+01	2.145578e-12	2.980802e-12
5.160000e+01	4.910998e-12	8.988313e-12
5.810000e+01	9.660252e-12	1.422102e-12
6.450000e+01	1.669067e-11	1.603783e-12
7.100000e+01	1.626493e-11	1.374994e-12
7.740000e+01	2.012535e-11	2.330879e-12
8.390000e+01	2.254460e-11	3.847090e-12
9.030000e+01	1.927002e-11	2.562025e-12
9.680000e+01	1.938927e-11	7.525814e-12
1.033000e+02	2.613927e-11	2.819652e-12
1.097000e+02	2.647395e-11	8.318718e-12
1.162000e+02	1.170895e-11	1.561747e-12
1.226000e+02	2.306362e-11	8.466219e-13
1.291000e+02	2.079362e-11	3.884343e-14
1.355000e+02	2.225829e-11	2.069526e-12
1.420000e+02	1.112329e-11	1.190939e-12
1.484000e+02	1.825297e-11	5.472430e-12
1.549000e+02	1.692797e-11	6.619647e-13
1.613000e+02	1.984764e-11	9.965334e-12
1.678000e+02	1.691264e-11	1.334869e-12
1.742000e+02	2.540731e-11	2.616762e-12
1.807000e+02	1.619231e-11	1.187227e-12
1.871000e+02	2.469199e-11	1.716142e-12
1.936000e+02	2.849199e-11	1.550677e-12
2.000000e+02	1.831666e-11	1.290462e-13
2.065000e+02	1.309092e-11	2.692165e-12
2.129000e+02	3.395134e-11	2.121950e-12
2.194000e+02	1.895559e-11	1.530739e-12
2.258000e+02	1.457101e-11	2.698544e-13
2.323000e+02	1.199026e-11	1.986357e-12
2.387000e+02	1.784068e-11	4.337758e-12
2.452000e+02	1.897994e-11	7.608453e-12
2.516000e+02	8.655356e-12	8.579338e-12
2.581000e+02	1.022961e-11	3.160549e-12
2.645000e+02	1.222003e-11	5.643567e-12
2.710000e+02	1.349428e-11	4.202355e-12
2.774000e+02	7.714704e-12	4.173529e-12
2.839000e+02	1.068396e-11	1.497405e-13
2.903000e+02	1.020438e-11	6.104375e-12
2.968000e+02	1.568363e-11	3.621836e-12
3.033000e+02	5.518632e-12	3.827698e-12
3.097000e+02	-1.188169e-11	1.878932e-12
3.162000e+02	2.763305e-12	1.089398e-12
3.226000e+02	-6.870212e-13	3.893972e-12
3.291000e+02	5.302979e-12	7.508506e-12
3.355000e+02	-4.573475e-13	3.728124e-12
3.420000e+02	1.467652e-12	2.308590e-12
3.484000e+02	-6.397674e-12	1.710220e-12
3.549000e+02	-6.082674e-12	4.000686e-12
