Time	Averaged_Intensity	Std_Deviation
0.000000e+00	-1.288003e-09	1.314512e-11
6.500000e+00	-3.587594e-10	1.722265e-10
1.290000e+01	1.766235e-11	3.885557e-10
1.940000e+01	-2.751286e-11	2.490177e-11
2.580000e+01	-7.702227e-10	7.563865e-11
3.230000e+01	1.065125e-09	4.170850e-10
3.870000e+01	1.037903e-10	1.104856e-10
4.520000e+01	-6.764710e-10	2.791506e-10
5.170000e+01	-3.943491e-10	5.494274e-10
5.810000e+01	2.302389e-09	4.736816e-10
6.460000e+01	7.066032e-09	1.802076e-10
7.100000e+01	8.552847e-09	2.013826e-10
7.750000e+01	7.655084e-09	1.113523e-10
8.390000e+01	7.839409e-09	3.687208e-11
9.040000e+01	8.763228e-09	4.104613e-11
9.680000e+01	8.336989e-09	1.209381e-09
1.033000e+02	7.924934e-09	4.555500e-10
1.097000e+02	8.080489e-09	5.528755e-10
1.162000e+02	6.583578e-09	7.827000e-10
1.226000e+02	7.252018e-09	1.455296e-10
1.291000e+02	7.266532e-09	5.433331e-10
1.355000e+02	6.333071e-09	2.570970e-10
1.420000e+02	6.624592e-09	7.117800e-10
1.484000e+02	6.350583e-09	1.155468e-09
1.549000e+02	6.986076e-09	5.508065e-10
1.613000e+02	5.915569e-09	2.248578e-10
1.678000e+02	6.474931e-09	3.906970e-10
1.742000e+02	6.195442e-09	3.100338e-10
1.807000e+02	6.057448e-09	5.119107e-10
1.871000e+02	5.695376e-09	1.240069e-09
1.936000e+02	5.991985e-09	2.649395e-10
2.000000e+02	4.841002e-09	1.260354e-10
2.065000e+02	6.218335e-09	7.442341e-10
2.129000e+02	5.971549e-09	7.286474e-10
2.194000e+02	5.218875e-09	4.299846e-10
2.259000e+02	5.424929e-09	2.033455e-10
2.323000e+02	5.529968e-09	1.037860e-09
2.388000e+02	5.097992e-09	1.185917e-10
2.452000e+02	5.011552e-09	4.873408e-10
2.517000e+02	4.457220e-09	2.061301e-10
2.581000e+02	5.274358e-09	1.693132e-10
2.646000e+02	5.254467e-09	1.003215e-10
2.710000e+02	5.027453e-09	1.640417e-10
2.775000e+02	4.319321e-09	8.693878e-10
2.839000e+02	5.025555e-09	9.533595e-10
2.904000e+02	4.435233e-09	2.339972e-10
2.968000e+02	4.286983e-09	8.316849e-11
3.033000e+02	1.473386e-09	5.268327e-10
3.097000e+02	8.635118e-10	7.108802e-10
3.162000e+02	4.539576e-10	1.213192e-09
3.226000e+02	3.272185e-10	1.891745e-10
3.291000e+02	4.493550e-10	2.911367e-10
3.355000e+02	-2.128277e-10	4.531314e-10
3.420000e+02	-7.573490e-11	7.811993e-10
3.484000e+02	-1.908758e-10	4.720100e-11
3.549000e+02	-2.031129e-10	6.190173e-10
