Averaged ion signal for P950-InO4, m/z=152
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	-3.880458e-12	6.426439e-12
6.500000e+00	1.478739e-11	3.967609e-13
1.290000e+01	4.670121e-12	8.277376e-12
1.940000e+01	-1.017058e-11	5.420352e-12
2.580000e+01	1.974651e-12	1.342736e-11
3.230000e+01	-5.734064e-13	1.098641e-11
3.870000e+01	-1.218642e-11	6.223749e-12
4.520000e+01	5.974423e-12	4.549725e-12
5.170000e+01	-6.371731e-12	6.993597e-12
5.810000e+01	-1.719450e-11	2.450888e-12
6.460000e+01	-3.292502e-12	1.413382e-11
7.100000e+01	1.120958e-11	1.520150e-12
7.750000e+01	1.011018e-11	6.096279e-12
8.390000e+01	1.041241e-11	9.006163e-12
9.040000e+01	-4.510043e-12	7.002458e-12
9.680000e+01	7.573241e-12	8.932476e-12
1.033000e+02	1.682484e-11	2.058904e-12
1.097000e+02	-3.142280e-12	6.406561e-12
1.162000e+02	-3.238084e-12	8.885533e-12
1.226000e+02	-6.802900e-12	1.482790e-11
1.291000e+02	5.324957e-13	4.305302e-13
1.355000e+02	1.105379e-12	2.140676e-11
1.420000e+02	3.838752e-13	1.782129e-11
1.484000e+02	-3.084891e-12	1.615318e-11
1.549000e+02	-3.786895e-12	1.821021e-11
1.613000e+02	9.230388e-12	2.725960e-12
1.678000e+02	-1.442566e-12	1.474508e-11
1.742000e+02	-1.444282e-12	1.487985e-11
1.807000e+02	8.489314e-12	6.147282e-12
1.871000e+02	-9.695153e-12	1.385987e-11
1.936000e+02	-3.571207e-12	8.136756e-12
2.000000e+02	-3.391523e-12	1.545138e-11
2.065000e+02	-5.019977e-12	1.793286e-11
2.129000e+02	-3.037894e-12	1.840289e-11
2.194000e+02	-1.173090e-11	3.047480e-12
2.259000e+02	-1.797055e-12	3.497804e-12
2.323000e+02	-1.809182e-11	3.377383e-12
2.388000e+02	-1.717023e-11	3.100492e-12
2.452000e+02	4.780461e-12	3.104154e-12
2.517000e+02	-1.909440e-11	2.528321e-12
2.581000e+02	-1.918209e-12	2.032566e-11
2.646000e+02	-2.935067e-12	1.160037e-11
2.710000e+02	8.335620e-12	6.562972e-12
2.775000e+02	-8.037372e-13	1.195645e-11
2.839000e+02	3.160449e-12	5.163284e-12
2.904000e+02	-7.022958e-12	8.843290e-12
2.968000e+02	-1.931742e-11	1.306106e-12
3.033000e+02	1.346922e-12	4.955073e-12
3.097000e+02	-5.734945e-13	1.972361e-11
3.162000e+02	-3.829149e-12	1.820029e-11
3.226000e+02	6.003985e-12	7.968270e-12
3.291000e+02	7.380081e-12	4.459802e-12
3.355000e+02	-2.225686e-12	1.571808e-11
3.420000e+02	-1.117279e-11	8.678189e-12
3.484000e+02	7.516644e-12	3.109104e-12
3.549000e+02	4.652740e-12	7.443824e-12
