Averaged ion signal for P950-Hf10x4, m/z=140
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	5.350706e-12	1.991419e-11
6.500000e+00	1.091904e-11	9.191080e-12
1.290000e+01	-1.441641e-11	1.080560e-12
1.940000e+01	-1.513963e-11	1.979902e-12
2.580000e+01	5.339275e-12	2.801469e-12
3.230000e+01	2.643556e-12	1.444383e-11
3.870000e+01	1.080286e-11	3.615403e-12
4.520000e+01	7.702790e-12	2.755695e-12
5.160000e+01	5.506445e-12	1.969275e-12
5.810000e+01	-1.930275e-12	1.529622e-11
6.450000e+01	9.170529e-12	4.546354e-12
7.100000e+01	1.281996e-11	4.510562e-12
7.740000e+01	2.080114e-12	1.147748e-11
8.390000e+01	3.735044e-12	8.108101e-13
9.030000e+01	-1.470877e-11	4.015058e-12
9.680000e+01	1.037363e-11	4.518682e-12
1.032000e+02	4.487066e-12	4.750520e-12
1.097000e+02	-1.670814e-11	1.138003e-12
1.161000e+02	-2.548350e-12	2.553649e-12
1.226000e+02	9.428299e-12	6.906075e-12
1.291000e+02	1.132773e-11	5.838717e-12
1.355000e+02	-1.005367e-12	2.029005e-11
1.420000e+02	5.398314e-12	3.972411e-12
1.484000e+02	8.679682e-13	1.263017e-11
1.549000e+02	-9.610302e-12	1.059774e-11
1.613000e+02	-9.751647e-12	1.244024e-11
1.678000e+02	7.306983e-12	5.596832e-12
1.742000e+02	-3.143623e-13	1.263759e-11
1.807000e+02	1.684568e-12	1.159870e-11
1.871000e+02	-2.296778e-12	9.263717e-12
1.936000e+02	6.283153e-12	8.660575e-12
2.000000e+02	2.681307e-12	1.232655e-12
2.065000e+02	-3.420763e-12	1.080995e-11
2.129000e+02	-1.416216e-11	4.667577e-12
2.194000e+02	1.169232e-11	1.468135e-14
2.258000e+02	-3.516523e-12	8.866398e-12
2.323000e+02	4.324069e-13	9.021690e-12
2.387000e+02	-4.359639e-12	1.587043e-11
2.452000e+02	-2.470083e-13	2.722562e-12
2.516000e+02	-2.302250e-11	2.802917e-13
2.581000e+02	4.988076e-12	5.975934e-12
2.645000e+02	-4.132692e-13	1.267513e-12
2.710000e+02	1.110716e-11	2.004305e-12
2.774000e+02	-7.330184e-12	6.728885e-12
2.839000e+02	3.290746e-12	7.517177e-12
2.903000e+02	-8.149518e-12	1.640667e-11
2.968000e+02	-1.026317e-11	9.633549e-12
3.032000e+02	2.925267e-12	1.335653e-12
3.097000e+02	3.707915e-12	1.167080e-12
3.161000e+02	2.803352e-12	1.040672e-11
3.226000e+02	-2.657480e-11	1.948292e-12
3.290000e+02	5.638936e-12	4.655590e-12
3.355000e+02	2.122085e-12	8.858664e-12
3.419000e+02	6.832521e-12	1.794538e-12
3.484000e+02	-1.474223e-11	1.034136e-11
3.548000e+02	-1.320104e-11	1.114982e-11
