Ion signal for P950-InO2 1, m/z=104
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	2.098619e-12	6.338178e-12
6.500000e+00	2.750471e-12	6.338178e-12
1.290000e+01	-4.437475e-12	6.338178e-12
1.940000e+01	-2.357624e-12	6.338178e-12
2.580000e+01	-5.799570e-12	6.338178e-12
3.230000e+01	4.234282e-12	6.338178e-12
3.870000e+01	5.537336e-12	6.338178e-12
4.520000e+01	1.770519e-11	6.338178e-12
5.160000e+01	2.417242e-12	6.338178e-12
5.810000e+01	2.280940e-13	6.338178e-12
6.450000e+01	1.498515e-11	6.338178e-12
7.100000e+01	-4.068000e-12	6.338178e-12
7.740000e+01	1.090005e-11	6.338178e-12
8.390000e+01	6.767906e-12	6.338178e-12
9.030000e+01	3.025960e-12	6.338178e-12
9.680000e+01	1.947381e-11	6.338178e-12
1.033000e+02	-2.485337e-12	6.338178e-12
1.097000e+02	1.400717e-12	6.338178e-12
1.162000e+02	2.754569e-12	6.338178e-12
1.226000e+02	-7.798377e-12	6.338178e-12
1.291000e+02	1.009348e-11	6.338178e-12
1.355000e+02	-8.738471e-12	6.338178e-12
1.420000e+02	-3.825619e-12	6.338178e-12
1.484000e+02	-1.061756e-11	6.338178e-12
1.549000e+02	1.279229e-11	6.338178e-12
1.613000e+02	-8.854659e-12	6.338178e-12
1.678000e+02	-4.937807e-12	6.338178e-12
1.742000e+02	-7.272753e-12	6.338178e-12
1.807000e+02	1.442010e-11	6.338178e-12
1.871000e+02	-5.542847e-12	6.338178e-12
1.936000e+02	1.127300e-11	6.338178e-12
2.000000e+02	-4.283941e-12	6.338178e-12
2.065000e+02	-6.398090e-12	6.338178e-12
2.129000e+02	5.597964e-12	6.338178e-12
2.194000e+02	-6.851184e-12	6.338178e-12
2.258000e+02	-7.493130e-12	6.338178e-12
2.323000e+02	1.652772e-11	6.338178e-12
2.387000e+02	-3.952224e-12	6.338178e-12
2.452000e+02	-5.708372e-12	6.338178e-12
2.516000e+02	6.848682e-12	6.338178e-12
2.581000e+02	8.493534e-12	6.338178e-12
2.645000e+02	1.182459e-11	6.338178e-12
2.710000e+02	1.742344e-11	6.338178e-12
2.774000e+02	1.422349e-11	6.338178e-12
2.839000e+02	7.791345e-12	6.338178e-12
2.903000e+02	-3.080600e-12	6.338178e-12
2.968000e+02	1.406025e-11	6.338178e-12
3.033000e+02	8.047103e-12	6.338178e-12
3.097000e+02	1.471816e-11	6.338178e-12
3.162000e+02	-2.993991e-12	6.338178e-12
3.226000e+02	8.781063e-12	6.338178e-12
3.291000e+02	1.335491e-11	6.338178e-12
3.355000e+02	-9.316031e-12	6.338178e-12
3.420000e+02	6.318207e-13	6.338178e-12
3.484000e+02	-4.598125e-12	6.338178e-12
3.549000e+02	-3.462273e-12	6.338178e-12
