Ion signal for P950-AlO4 2, m/z=14
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	6.579337e-14	1.989232e-11
6.400000e+00	-4.477813e-12	1.989232e-11
1.290000e+01	1.821993e-11	1.989232e-11
1.930000e+01	-1.477368e-11	1.989232e-11
2.580000e+01	3.725407e-11	1.989232e-11
3.220000e+01	-3.934954e-11	1.989232e-11
3.870000e+01	2.298202e-12	1.989232e-11
4.510000e+01	-9.615405e-12	1.989232e-11
5.160000e+01	1.737234e-11	1.989232e-11
5.800000e+01	6.443873e-11	1.989232e-11
6.450000e+01	1.163365e-10	1.989232e-11
7.090000e+01	1.195229e-10	1.989232e-11
7.740000e+01	1.391006e-10	1.989232e-11
8.380000e+01	1.204770e-10	1.989232e-11
9.030000e+01	1.265547e-10	1.989232e-11
9.670000e+01	1.390511e-10	1.989232e-11
1.032000e+02	1.505089e-10	1.989232e-11
1.096000e+02	1.436953e-10	1.989232e-11
1.161000e+02	1.330530e-10	1.989232e-11
1.225000e+02	1.092494e-10	1.989232e-11
1.290000e+02	1.398372e-10	1.989232e-11
1.354000e+02	1.209335e-10	1.989232e-11
1.419000e+02	9.768129e-11	1.989232e-11
1.483000e+02	9.936769e-11	1.989232e-11
1.548000e+02	1.160054e-10	1.989232e-11
1.612000e+02	8.086182e-11	1.989232e-11
1.677000e+02	1.101596e-10	1.989232e-11
1.742000e+02	1.093373e-10	1.989232e-11
1.806000e+02	9.425370e-11	1.989232e-11
1.871000e+02	8.878144e-11	1.989232e-11
1.935000e+02	1.388578e-10	1.989232e-11
2.000000e+02	1.065956e-10	1.989232e-11
2.064000e+02	5.806197e-11	1.989232e-11
2.129000e+02	6.284972e-11	1.989232e-11
2.193000e+02	7.178611e-11	1.989232e-11
2.258000e+02	7.766385e-11	1.989232e-11
2.322000e+02	1.043902e-10	1.989232e-11
2.387000e+02	8.829799e-11	1.989232e-11
2.451000e+02	6.985438e-11	1.989232e-11
2.516000e+02	7.825213e-11	1.989232e-11
2.580000e+02	7.816852e-11	1.989232e-11
2.645000e+02	8.996626e-11	1.989232e-11
2.709000e+02	8.123266e-11	1.989232e-11
2.774000e+02	8.008040e-11	1.989232e-11
2.838000e+02	8.003679e-11	1.989232e-11
2.903000e+02	6.350453e-11	1.989232e-11
2.967000e+02	4.779093e-11	1.989232e-11
3.032000e+02	2.164867e-11	1.989232e-11
3.096000e+02	2.273506e-11	1.989232e-11
3.161000e+02	1.531281e-11	1.989232e-11
3.225000e+02	-1.107994e-13	1.989232e-11
3.290000e+02	1.000694e-11	1.989232e-11
3.354000e+02	-1.045666e-11	1.989232e-11
3.419000e+02	-1.019892e-11	1.989232e-11
3.483000e+02	1.147747e-11	1.989232e-11
3.548000e+02	-1.405478e-11	1.989232e-11
