Averaged ion signal for P950-InO4, m/z=122
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	4.211404e-12	1.012519e-12
6.500000e+00	-5.327051e-12	3.505338e-13
1.290000e+01	-4.673335e-12	9.265466e-12
1.940000e+01	1.773211e-12	7.224519e-12
2.580000e+01	-2.070074e-12	2.464587e-12
3.230000e+01	1.186152e-11	3.615287e-13
3.870000e+01	-2.393125e-13	1.385972e-14
4.520000e+01	7.600777e-12	5.355817e-13
5.170000e+01	-5.860678e-12	7.515433e-12
5.810000e+01	-7.496462e-12	9.907135e-12
6.460000e+01	1.710083e-12	5.290880e-12
7.100000e+01	6.084299e-12	2.816312e-12
7.750000e+01	1.961345e-12	1.443827e-12
8.390000e+01	2.703560e-12	3.059259e-12
9.040000e+01	-1.243239e-11	4.615225e-12
9.680000e+01	1.094532e-11	2.817294e-12
1.033000e+02	-6.463633e-12	6.956222e-12
1.097000e+02	4.736083e-12	7.858153e-12
1.162000e+02	-5.143871e-12	1.489233e-11
1.226000e+02	-2.473156e-12	2.333400e-12
1.291000e+02	-2.571110e-12	1.741884e-12
1.355000e+02	-4.248945e-13	3.165475e-13
1.420000e+02	-5.453349e-12	2.012437e-12
1.484000e+02	-2.098498e-11	1.680845e-12
1.549000e+02	-1.144588e-12	4.860096e-13
1.613000e+02	-1.040927e-11	1.292634e-11
1.678000e+02	3.812674e-12	2.518043e-12
1.742000e+02	1.052489e-11	1.159611e-12
1.807000e+02	1.084643e-11	1.619596e-12
1.871000e+02	5.127651e-12	8.363164e-12
1.936000e+02	1.036962e-13	8.374649e-12
2.000000e+02	9.174119e-13	8.172717e-12
2.065000e+02	9.166957e-12	1.509702e-12
2.129000e+02	-7.373977e-12	2.013342e-11
2.194000e+02	-5.099381e-12	2.135536e-11
2.259000e+02	-3.425692e-12	5.938197e-12
2.323000e+02	-6.108520e-12	8.601192e-12
2.388000e+02	-8.935931e-12	1.149375e-11
2.452000e+02	1.005374e-11	1.818139e-12
2.517000e+02	-1.133817e-11	4.598697e-12
2.581000e+02	-4.084497e-12	4.030414e-12
2.646000e+02	-7.998408e-12	4.469144e-12
2.710000e+02	3.352764e-12	1.036947e-11
2.775000e+02	-1.351460e-11	1.681136e-11
2.839000e+02	9.206025e-12	5.079520e-12
2.904000e+02	-5.563858e-13	2.066462e-12
2.968000e+02	-1.015517e-11	1.046203e-11
3.033000e+02	-8.353475e-12	1.651586e-11
3.097000e+02	-5.170409e-12	1.793583e-12
3.162000e+02	-8.044863e-12	2.305675e-13
3.226000e+02	6.971852e-12	7.054364e-12
3.291000e+02	-1.095460e-11	2.147380e-12
3.355000e+02	1.537114e-12	1.288311e-12
3.420000e+02	-1.408341e-12	5.446734e-13
3.484000e+02	9.500875e-12	2.470242e-12
3.549000e+02	-5.765079e-12	9.669274e-12
