Averaged ion signal for P950-InO2, m/z=27
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	5.549031e-11	1.095413e-11
6.500000e+00	1.224108e-11	9.025530e-12
1.290000e+01	-3.043225e-12	1.434832e-11
1.940000e+01	-6.901750e-12	3.432050e-12
2.580000e+01	-8.071758e-12	5.187508e-12
3.230000e+01	1.197169e-13	1.785286e-11
3.870000e+01	5.519708e-12	1.023669e-11
4.520000e+01	-2.328882e-11	2.633677e-12
5.160000e+01	-1.019383e-11	1.039088e-11
5.810000e+01	6.902650e-12	5.854490e-12
6.450000e+01	3.132764e-11	2.230993e-11
7.100000e+01	3.857412e-11	1.120530e-11
7.740000e+01	4.913411e-11	5.325745e-12
8.390000e+01	4.114558e-11	8.638839e-13
9.030000e+01	4.966557e-11	1.400344e-11
9.680000e+01	3.409205e-11	1.151807e-11
1.033000e+02	3.825782e-11	9.634063e-13
1.097000e+02	6.040852e-11	1.802258e-12
1.162000e+02	6.365929e-11	4.597407e-12
1.226000e+02	3.912498e-11	1.328356e-11
1.291000e+02	6.142075e-11	5.417799e-13
1.355000e+02	6.626145e-11	1.299369e-12
1.420000e+02	4.662222e-11	2.109667e-13
1.484000e+02	3.325792e-11	9.645182e-12
1.549000e+02	4.420868e-11	5.855154e-12
1.613000e+02	6.346938e-11	1.704005e-12
1.678000e+02	5.989515e-11	5.593404e-13
1.742000e+02	4.886585e-11	1.395819e-11
1.807000e+02	3.610162e-11	4.326473e-12
1.871000e+02	4.252232e-11	5.992378e-12
1.936000e+02	5.792808e-11	1.108229e-11
2.000000e+02	3.930378e-11	1.805157e-11
2.065000e+02	4.996026e-11	2.486194e-12
2.129000e+02	4.339025e-11	4.795752e-12
2.194000e+02	5.883672e-11	5.429619e-12
2.258000e+02	4.195672e-11	1.445006e-11
2.323000e+02	5.312819e-11	4.380432e-12
2.387000e+02	4.530318e-11	4.024126e-12
2.452000e+02	3.181966e-11	6.621245e-12
2.516000e+02	4.084465e-11	4.593313e-12
2.581000e+02	2.508612e-11	5.070584e-13
2.645000e+02	3.237612e-11	2.153750e-11
2.710000e+02	4.861259e-11	3.626287e-11
2.774000e+02	3.738758e-11	9.488314e-12
2.839000e+02	2.813906e-11	1.108868e-11
2.903000e+02	4.455905e-11	4.799127e-12
2.968000e+02	4.422052e-11	1.949498e-12
3.033000e+02	2.568629e-11	1.464162e-12
3.097000e+02	-9.858010e-12	5.980311e-12
3.162000e+02	2.792759e-12	3.729976e-12
3.226000e+02	-1.654332e-14	5.878876e-12
3.291000e+02	-7.335774e-12	2.359211e-12
3.355000e+02	2.704923e-12	2.018806e-11
3.420000e+02	1.060569e-11	1.616160e-11
3.484000e+02	-5.838610e-12	5.847751e-12
3.549000e+02	-1.687784e-11	9.722585e-12
