Averaged ion signal for P950-Hf15x1, m/z=125
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	-7.580858e-12	1.618991e-11
6.500000e+00	-1.166673e-12	1.426818e-13
1.290000e+01	-9.214348e-12	1.149968e-11
1.940000e+01	2.007868e-13	9.221500e-13
2.580000e+01	-3.720383e-13	4.246343e-12
3.230000e+01	4.283783e-12	8.760482e-12
3.880000e+01	6.602067e-12	5.501572e-13
4.520000e+01	5.397422e-13	2.209150e-12
5.170000e+01	1.476903e-11	3.325825e-12
5.810000e+01	-3.904998e-12	1.686288e-11
6.460000e+01	2.321987e-12	1.669506e-12
7.100000e+01	9.314662e-12	1.518487e-12
7.750000e+01	1.662446e-12	2.074338e-12
8.390000e+01	-1.318743e-11	8.458205e-12
9.040000e+01	1.402906e-12	3.051699e-13
9.680000e+01	3.589081e-12	4.616323e-12
1.033000e+02	5.668366e-12	9.415002e-12
1.097000e+02	6.973041e-12	8.159915e-13
1.162000e+02	-8.390075e-12	1.063707e-11
1.226000e+02	-2.294000e-12	1.012234e-11
1.291000e+02	3.238785e-12	8.941835e-12
1.355000e+02	4.013460e-12	2.532828e-12
1.420000e+02	-2.377554e-13	1.663900e-11
1.484000e+02	7.123920e-12	2.646996e-12
1.549000e+02	7.530704e-12	1.400829e-12
1.613000e+02	-1.475237e-11	1.173959e-11
1.678000e+02	2.791164e-12	3.861339e-12
1.742000e+02	-4.094661e-12	6.091833e-12
1.807000e+02	-1.321483e-11	9.589942e-12
1.871000e+02	2.632799e-12	4.901999e-12
1.936000e+02	-2.641881e-12	1.590640e-12
2.000000e+02	-9.758592e-12	1.423168e-11
2.065000e+02	-1.201607e-11	1.404084e-11
2.130000e+02	6.621364e-12	2.734983e-12
2.194000e+02	3.545039e-12	8.537024e-12
2.259000e+02	-1.305613e-11	8.083101e-12
2.323000e+02	3.638998e-12	9.553356e-12
2.388000e+02	8.272283e-12	5.470319e-12
2.452000e+02	-2.649419e-11	2.628937e-12
2.517000e+02	-1.415886e-11	1.059509e-11
2.581000e+02	-1.138603e-11	1.060993e-11
2.646000e+02	-5.214298e-12	1.445844e-12
2.710000e+02	-5.478073e-12	1.668230e-11
2.775000e+02	1.647662e-12	6.112176e-12
2.839000e+02	-1.829663e-12	5.015183e-12
2.904000e+02	-2.891378e-12	1.594751e-11
2.968000e+02	-8.102203e-12	9.938985e-12
3.033000e+02	1.481081e-12	3.511661e-12
3.097000e+02	-2.167224e-11	4.801346e-12
3.162000e+02	4.459541e-12	3.344171e-12
3.226000e+02	2.549216e-12	2.711822e-12
3.291000e+02	5.775001e-12	4.097003e-12
3.355000e+02	4.591757e-13	8.176510e-12
3.420000e+02	4.325960e-12	1.719335e-12
3.484000e+02	-1.089371e-11	1.271501e-11
3.549000e+02	-5.208580e-12	1.206717e-11
