Time	Averaged_Intensity	Std_Deviation
0.000000e+00	-8.211753e-10	4.838487e-10
6.500000e+00	5.582044e-10	1.774442e-10
1.290000e+01	-2.415620e-10	4.423970e-10
1.940000e+01	1.312519e-10	1.078508e-09
2.580000e+01	-3.151756e-10	5.654549e-11
3.230000e+01	-5.874973e-10	2.489142e-10
3.880000e+01	4.080462e-10	3.233262e-10
4.520000e+01	-2.400178e-10	5.101545e-10
5.170000e+01	-2.156383e-10	2.561166e-10
5.810000e+01	2.865532e-09	8.934209e-10
6.460000e+01	7.912288e-09	2.773329e-10
7.100000e+01	9.195759e-09	7.226582e-10
7.750000e+01	1.006523e-08	1.679237e-10
8.390000e+01	1.023309e-08	3.541049e-10
9.040000e+01	1.021873e-08	6.723581e-10
9.680000e+01	1.024993e-08	6.975990e-10
1.033000e+02	9.819298e-09	4.151594e-10
1.097000e+02	1.030794e-08	6.551125e-10
1.162000e+02	9.477392e-09	1.208004e-09
1.226000e+02	1.019748e-08	4.760278e-10
1.291000e+02	9.120629e-09	2.168428e-10
1.355000e+02	9.651982e-09	4.084383e-10
1.420000e+02	9.509894e-09	8.936225e-10
1.484000e+02	9.547474e-09	2.407812e-10
1.549000e+02	8.761947e-09	2.093616e-10
1.613000e+02	8.993451e-09	1.286482e-10
1.678000e+02	9.039964e-09	9.834788e-10
1.742000e+02	8.390925e-09	1.141801e-10
1.807000e+02	7.966828e-09	2.891756e-10
1.871000e+02	8.293107e-09	9.157033e-11
1.936000e+02	7.836412e-09	5.042944e-10
2.000000e+02	7.810605e-09	1.468173e-10
2.065000e+02	7.963677e-09	2.223384e-10
2.129000e+02	7.683894e-09	6.733884e-10
2.194000e+02	7.780826e-09	4.504532e-10
2.258000e+02	7.304455e-09	4.571085e-10
2.323000e+02	7.139745e-09	3.729210e-11
2.387000e+02	6.825988e-09	7.870848e-10
2.452000e+02	7.272348e-09	2.010305e-12
2.516000e+02	7.042787e-09	1.750803e-10
2.581000e+02	6.768172e-09	7.201175e-11
2.646000e+02	6.959321e-09	2.618388e-10
2.710000e+02	6.009542e-09	2.979974e-10
2.775000e+02	6.839639e-09	1.421457e-09
2.839000e+02	6.229930e-09	5.976700e-10
2.904000e+02	6.885195e-09	1.039533e-09
2.968000e+02	6.558200e-09	8.226339e-11
3.033000e+02	2.582208e-09	9.263523e-11
3.097000e+02	1.384456e-09	7.300393e-10
3.162000e+02	7.273589e-10	6.762819e-11
3.226000e+02	7.857240e-10	4.443020e-10
3.291000e+02	2.981601e-10	3.513932e-10
3.355000e+02	3.663689e-10	5.963933e-10
3.420000e+02	-3.839979e-10	4.238674e-11
3.484000e+02	-2.337986e-10	9.331448e-10
3.549000e+02	4.306450e-11	7.068931e-10
