Ion signal for P950-InO2 2, m/z=55
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	3.176730e-12	4.970981e-12
6.400000e+00	1.909708e-12	4.970981e-12
1.290000e+01	1.347264e-12	4.970981e-12
1.940000e+01	-2.895180e-12	4.970981e-12
2.580000e+01	-3.722023e-13	4.970981e-12
3.230000e+01	6.815354e-12	4.970981e-12
3.870000e+01	-7.361668e-12	4.970981e-12
4.520000e+01	-8.774112e-12	4.970981e-12
5.160000e+01	-1.269113e-11	4.970981e-12
5.810000e+01	9.066422e-12	4.970981e-12
6.450000e+01	3.889400e-12	4.970981e-12
7.100000e+01	1.216696e-11	4.970981e-12
7.740000e+01	2.411993e-11	4.970981e-12
8.390000e+01	1.006749e-11	4.970981e-12
9.030000e+01	2.896047e-11	4.970981e-12
9.680000e+01	2.180802e-11	4.970981e-12
1.032000e+02	3.080100e-11	4.970981e-12
1.097000e+02	2.327856e-11	4.970981e-12
1.161000e+02	1.267154e-11	4.970981e-12
1.226000e+02	2.682909e-11	4.970981e-12
1.290000e+02	2.807207e-11	4.970981e-12
1.355000e+02	3.350963e-11	4.970981e-12
1.419000e+02	3.636260e-11	4.970981e-12
1.484000e+02	1.612016e-11	4.970981e-12
1.548000e+02	1.889314e-11	4.970981e-12
1.613000e+02	3.910069e-11	4.970981e-12
1.677000e+02	3.537367e-11	4.970981e-12
1.742000e+02	1.291123e-11	4.970981e-12
1.806000e+02	3.991421e-11	4.970981e-12
1.871000e+02	2.055176e-11	4.970981e-12
1.935000e+02	2.338474e-11	4.970981e-12
2.000000e+02	3.118230e-11	4.970981e-12
2.065000e+02	3.219985e-11	4.970981e-12
2.129000e+02	2.496283e-11	4.970981e-12
2.194000e+02	2.410039e-11	4.970981e-12
2.258000e+02	1.616336e-11	4.970981e-12
2.323000e+02	-4.190799e-13	4.970981e-12
2.387000e+02	1.987390e-11	4.970981e-12
2.452000e+02	1.811145e-11	4.970981e-12
2.516000e+02	2.673443e-11	4.970981e-12
2.581000e+02	1.938199e-11	4.970981e-12
2.645000e+02	4.378497e-11	4.970981e-12
2.710000e+02	2.943252e-11	4.970981e-12
2.774000e+02	2.299550e-11	4.970981e-12
2.839000e+02	2.365306e-11	4.970981e-12
2.903000e+02	1.442603e-11	4.970981e-12
2.968000e+02	1.948359e-11	4.970981e-12
3.032000e+02	2.448657e-11	4.970981e-12
3.097000e+02	1.276412e-11	4.970981e-12
3.161000e+02	2.518710e-11	4.970981e-12
3.226000e+02	5.594658e-12	4.970981e-12
3.290000e+02	5.827637e-12	4.970981e-12
3.355000e+02	3.165192e-12	4.970981e-12
3.419000e+02	-9.361829e-12	4.970981e-12
3.484000e+02	9.257265e-13	4.970981e-12
3.548000e+02	-8.991295e-12	4.970981e-12
