Averaged ion signal for bare Si BNL, m/z=93
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	5.412533e-12	3.968062e-12
6.500000e+00	-5.469323e-12	3.223842e-12
1.290000e+01	1.909334e-12	6.604355e-12
1.940000e+01	9.098478e-12	1.780741e-12
2.580000e+01	-2.460366e-12	4.068728e-12
3.230000e+01	-6.061222e-12	3.007825e-12
3.880000e+01	2.904483e-12	1.847360e-12
4.520000e+01	-3.749422e-12	2.443408e-12
5.170000e+01	-3.760717e-12	3.516943e-12
5.810000e+01	-6.861211e-13	3.742491e-12
6.460000e+01	7.915838e-13	1.903026e-12
7.100000e+01	3.527179e-12	1.030575e-12
7.750000e+01	-1.444868e-11	3.359329e-12
8.390000e+01	-5.835020e-12	1.502016e-11
9.040000e+01	-5.947876e-12	2.626254e-12
9.680000e+01	4.989280e-12	7.093759e-12
1.033000e+02	1.124592e-11	4.396838e-12
1.097000e+02	2.292081e-12	4.490825e-12
1.162000e+02	-9.872756e-13	4.033579e-12
1.226000e+02	-1.107612e-11	6.241592e-12
1.291000e+02	-1.290475e-12	2.410042e-13
1.355000e+02	1.636182e-12	3.652509e-12
1.420000e+02	8.890325e-12	3.322412e-12
1.484000e+02	-5.790178e-13	9.636075e-12
1.549000e+02	5.695626e-12	3.867092e-14
1.613000e+02	1.761783e-12	2.966658e-12
1.678000e+02	-3.495074e-12	4.566754e-12
1.742000e+02	4.560583e-12	2.033759e-12
1.807000e+02	1.105873e-11	5.339338e-12
1.871000e+02	4.419384e-12	6.092825e-12
1.936000e+02	-7.982473e-12	5.192095e-14
2.000000e+02	8.514684e-12	1.067908e-12
2.065000e+02	-1.581172e-12	1.862400e-11
2.130000e+02	-7.148968e-12	9.754961e-12
2.194000e+02	5.971128e-12	3.836912e-12
2.259000e+02	3.913333e-12	2.765123e-12
2.323000e+02	5.519285e-13	6.911671e-12
2.388000e+02	-8.821867e-12	4.714294e-12
2.452000e+02	9.025729e-12	8.670254e-12
2.517000e+02	1.250793e-11	2.992894e-13
2.581000e+02	1.021953e-11	3.532838e-12
2.646000e+02	-9.678266e-12	1.160587e-11
2.710000e+02	3.861830e-12	3.665921e-12
2.775000e+02	-1.012147e-11	2.313544e-12
2.839000e+02	9.363038e-14	6.770504e-12
2.904000e+02	-1.375161e-11	9.337911e-12
2.968000e+02	6.593084e-14	2.690588e-12
3.033000e+02	3.716357e-13	3.270123e-12
3.097000e+02	9.088731e-12	1.178171e-12
3.162000e+02	8.317936e-12	5.377206e-12
3.226000e+02	5.302532e-12	2.027754e-12
3.291000e+02	-1.052825e-12	1.199649e-12
3.355000e+02	2.337332e-12	3.693662e-12
3.420000e+02	5.708476e-12	5.047566e-12
3.484000e+02	-6.914367e-12	9.064421e-12
3.549000e+02	6.559276e-12	9.011017e-12
