Averaged ion signal for bare Si BNL, m/z=178
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	1.561596e-11	2.143786e-12
6.500000e+00	9.116355e-12	6.626288e-12
1.290000e+01	1.085947e-11	2.140770e-12
1.940000e+01	-5.703636e-12	1.181720e-11
2.580000e+01	1.782481e-12	1.605975e-11
3.230000e+01	-1.563283e-11	1.086193e-13
3.880000e+01	-1.056939e-12	8.589310e-12
4.520000e+01	9.051381e-12	1.349835e-12
5.170000e+01	-2.576180e-12	1.664246e-11
5.810000e+01	1.373990e-12	1.797705e-11
6.460000e+01	-1.805421e-12	6.916779e-12
7.100000e+01	-4.006351e-12	8.468617e-12
7.750000e+01	3.085908e-13	1.811526e-11
8.390000e+01	2.333908e-12	1.274412e-11
9.040000e+01	1.071580e-11	4.078456e-12
9.680000e+01	3.469163e-13	2.692398e-12
1.033000e+02	-7.099092e-12	7.992928e-12
1.097000e+02	1.060492e-11	6.463086e-12
1.162000e+02	4.192817e-12	1.074880e-13
1.226000e+02	-1.718666e-12	1.295317e-11
1.291000e+02	-5.798674e-12	1.170650e-11
1.355000e+02	1.106442e-12	1.201255e-11
1.420000e+02	-2.113866e-12	1.269218e-11
1.484000e+02	-3.980549e-12	4.384962e-12
1.549000e+02	1.218343e-12	1.195246e-11
1.613000e+02	1.260060e-12	1.669688e-11
1.678000e+02	5.147852e-12	9.556449e-12
1.742000e+02	-1.209298e-11	4.774457e-12
1.807000e+02	7.708861e-12	2.340671e-13
1.871000e+02	-4.406273e-12	1.126826e-11
1.936000e+02	1.163787e-11	5.797583e-12
2.000000e+02	6.493986e-12	1.025448e-11
2.065000e+02	-3.935372e-12	1.232735e-11
2.130000e+02	6.387566e-12	7.365469e-12
2.194000e+02	-1.533781e-11	1.411714e-12
2.259000e+02	-4.056225e-12	1.104778e-11
2.323000e+02	1.176840e-11	2.317370e-12
2.388000e+02	1.913408e-11	3.170999e-12
2.452000e+02	1.144404e-12	7.938854e-12
2.517000e+02	2.000859e-11	4.104984e-12
2.581000e+02	-5.348937e-12	1.195001e-11
2.646000e+02	-4.178399e-12	5.879532e-12
2.710000e+02	9.114422e-12	5.016178e-12
2.775000e+02	-1.222890e-12	8.648548e-12
2.839000e+02	-8.261420e-12	1.158854e-11
2.904000e+02	-1.331078e-11	8.888964e-12
2.968000e+02	3.951389e-13	1.483309e-11
3.033000e+02	1.206477e-12	1.692707e-11
3.097000e+02	-3.581552e-12	5.214725e-12
3.162000e+02	1.376314e-11	6.677095e-12
3.226000e+02	9.552956e-12	7.979741e-12
3.291000e+02	-6.106802e-12	7.583335e-12
3.355000e+02	-4.580935e-12	9.016643e-12
3.420000e+02	-1.963143e-12	7.461831e-12
3.484000e+02	1.328597e-11	8.890773e-12
3.549000e+02	-2.915134e-12	1.001735e-11
