Ion signal for P950-InO4 2, m/z=135
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	2.398269e-11	1.159376e-11
6.400000e+00	6.274901e-12	1.159376e-11
1.290000e+01	-1.360229e-11	1.159376e-11
1.930000e+01	-2.616285e-12	1.159376e-11
2.580000e+01	-1.381568e-11	1.159376e-11
3.230000e+01	5.832923e-12	1.159376e-11
3.870000e+01	1.813613e-11	1.159376e-11
4.520000e+01	6.390737e-12	1.159376e-11
5.160000e+01	-1.142225e-11	1.159376e-11
5.810000e+01	-1.072945e-11	1.159376e-11
6.450000e+01	8.406761e-12	1.159376e-11
7.100000e+01	-1.194674e-11	1.159376e-11
7.740000e+01	9.715575e-12	1.159376e-11
8.390000e+01	-4.560822e-12	1.159376e-11
9.030000e+01	-1.707771e-11	1.159376e-11
9.680000e+01	1.743999e-11	1.159376e-11
1.032000e+02	1.971720e-11	1.159376e-11
1.097000e+02	5.212806e-12	1.159376e-11
1.161000e+02	1.968602e-11	1.159376e-11
1.226000e+02	1.294462e-11	1.159376e-11
1.290000e+02	6.373830e-12	1.159376e-11
1.355000e+02	1.556943e-11	1.159376e-11
1.419000e+02	6.922644e-12	1.159376e-11
1.484000e+02	1.023625e-11	1.159376e-11
1.548000e+02	4.325458e-12	1.159376e-11
1.613000e+02	1.717706e-11	1.159376e-11
1.677000e+02	1.558027e-11	1.159376e-11
1.742000e+02	-1.636622e-11	1.159376e-11
1.806000e+02	4.163086e-12	1.159376e-11
1.871000e+02	5.541689e-12	1.159376e-11
1.935000e+02	1.945990e-11	1.159376e-11
2.000000e+02	8.685033e-13	1.159376e-11
2.064000e+02	-1.749669e-11	1.159376e-11
2.129000e+02	1.137732e-11	1.159376e-11
2.193000e+02	1.740953e-11	1.159376e-11
2.258000e+02	1.656113e-11	1.159376e-11
2.322000e+02	1.444834e-11	1.159376e-11
2.387000e+02	1.818594e-11	1.159376e-11
2.451000e+02	-8.808845e-12	1.159376e-11
2.516000e+02	1.046076e-11	1.159376e-11
2.580000e+02	1.444797e-11	1.159376e-11
2.645000e+02	1.245573e-12	1.159376e-11
2.709000e+02	1.370278e-11	1.159376e-11
2.774000e+02	1.073839e-11	1.159376e-11
2.838000e+02	3.203597e-12	1.159376e-11
2.903000e+02	4.195200e-12	1.159376e-11
2.968000e+02	1.221080e-11	1.159376e-11
3.032000e+02	7.016014e-12	1.159376e-11
3.097000e+02	-8.487382e-12	1.159376e-11
3.161000e+02	1.708283e-11	1.159376e-11
3.226000e+02	3.167432e-12	1.159376e-11
3.290000e+02	1.107364e-11	1.159376e-11
3.355000e+02	9.932460e-13	1.159376e-11
3.419000e+02	7.280456e-12	1.159376e-11
3.484000e+02	-1.955704e-11	1.159376e-11
3.548000e+02	1.343127e-11	1.159376e-11
