Sum of corrected signals for P950-Hf10x4 2
Time(s)	SumCorrected(Torr)	Std(Torr)
0.000000e+00	-1.844771e-09	4.259194e-10
6.500000e+00	3.176329e-10	4.259194e-10
1.290000e+01	-6.221216e-10	4.259194e-10
1.940000e+01	-6.691258e-10	4.259194e-10
2.580000e+01	5.182743e-10	4.259194e-10
3.230000e+01	2.049757e-10	4.259194e-10
3.870000e+01	2.629577e-10	4.259194e-10
4.520000e+01	-8.188429e-10	4.259194e-10
5.160000e+01	1.489587e-10	4.259194e-10
5.810000e+01	2.390340e-09	4.259194e-10
6.450000e+01	6.006651e-09	4.259194e-10
7.100000e+01	9.225044e-09	4.259194e-10
7.740000e+01	8.303882e-09	4.259194e-10
8.390000e+01	7.799835e-09	4.259194e-10
9.040000e+01	8.041179e-09	4.259194e-10
9.680000e+01	8.196798e-09	4.259194e-10
1.033000e+02	8.236693e-09	4.259194e-10
1.097000e+02	6.558126e-09	4.259194e-10
1.162000e+02	6.903053e-09	4.259194e-10
1.226000e+02	7.148725e-09	4.259194e-10
1.291000e+02	6.878938e-09	4.259194e-10
1.355000e+02	6.580725e-09	4.259194e-10
1.420000e+02	6.526075e-09	4.259194e-10
1.484000e+02	6.505609e-09	4.259194e-10
1.549000e+02	5.717074e-09	4.259194e-10
1.613000e+02	6.762593e-09	4.259194e-10
1.678000e+02	5.773909e-09	4.259194e-10
1.742000e+02	5.627044e-09	4.259194e-10
1.807000e+02	6.531068e-09	4.259194e-10
1.871000e+02	6.022764e-09	4.259194e-10
1.936000e+02	6.303856e-09	4.259194e-10
2.000000e+02	6.179173e-09	4.259194e-10
2.065000e+02	5.581395e-09	4.259194e-10
2.129000e+02	5.417455e-09	4.259194e-10
2.194000e+02	4.769420e-09	4.259194e-10
2.258000e+02	5.301994e-09	4.259194e-10
2.323000e+02	6.130721e-09	4.259194e-10
2.387000e+02	6.624560e-09	4.259194e-10
2.452000e+02	5.775267e-09	4.259194e-10
2.516000e+02	5.039933e-09	4.259194e-10
2.581000e+02	5.344537e-09	4.259194e-10
2.645000e+02	5.155511e-09	4.259194e-10
2.710000e+02	4.217191e-09	4.259194e-10
2.774000e+02	6.554198e-09	4.259194e-10
2.839000e+02	5.180521e-09	4.259194e-10
2.904000e+02	4.830228e-09	4.259194e-10
2.968000e+02	5.794971e-09	4.259194e-10
3.033000e+02	8.183562e-10	4.259194e-10
3.097000e+02	1.512361e-10	4.259194e-10
3.162000e+02	1.124375e-09	4.259194e-10
3.226000e+02	-7.573561e-10	4.259194e-10
3.291000e+02	1.409539e-10	4.259194e-10
3.355000e+02	5.064656e-10	4.259194e-10
3.420000e+02	-3.772506e-10	4.259194e-10
3.484000e+02	-2.827620e-10	4.259194e-10
3.549000e+02	-9.494510e-10	4.259194e-10
