Ion signal for P950-Hf15x1 2, m/z=14
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	2.417364e-12	1.211592e-11
6.400000e+00	1.033087e-11	1.211592e-11
1.290000e+01	2.336465e-12	1.211592e-11
1.930000e+01	-1.639003e-11	1.211592e-11
2.580000e+01	6.835566e-12	1.211592e-11
3.230000e+01	1.235116e-11	1.211592e-11
3.870000e+01	-1.679533e-11	1.211592e-11
4.520000e+01	-9.609740e-12	1.211592e-11
5.160000e+01	-2.227623e-11	1.211592e-11
5.810000e+01	3.157936e-11	1.211592e-11
6.450000e+01	1.269429e-10	1.211592e-11
7.100000e+01	1.113685e-10	1.211592e-11
7.740000e+01	1.112220e-10	1.211592e-11
8.390000e+01	1.477076e-10	1.211592e-11
9.030000e+01	1.022211e-10	1.211592e-11
9.680000e+01	1.088367e-10	1.211592e-11
1.032000e+02	1.019602e-10	1.211592e-11
1.097000e+02	1.047358e-10	1.211592e-11
1.161000e+02	1.033793e-10	1.211592e-11
1.226000e+02	8.671486e-11	1.211592e-11
1.290000e+02	7.195837e-11	1.211592e-11
1.355000e+02	6.834397e-11	1.211592e-11
1.419000e+02	1.142475e-10	1.211592e-11
1.484000e+02	1.127031e-10	1.211592e-11
1.548000e+02	8.125657e-11	1.211592e-11
1.613000e+02	1.148922e-10	1.211592e-11
1.677000e+02	7.060567e-11	1.211592e-11
1.742000e+02	8.575127e-11	1.211592e-11
1.806000e+02	8.476478e-11	1.211592e-11
1.871000e+02	5.996037e-11	1.211592e-11
1.936000e+02	5.508596e-11	1.211592e-11
2.000000e+02	9.005947e-11	1.211592e-11
2.065000e+02	7.002506e-11	1.211592e-11
2.129000e+02	1.029886e-10	1.211592e-11
2.194000e+02	5.777416e-11	1.211592e-11
2.258000e+02	5.915767e-11	1.211592e-11
2.323000e+02	9.436326e-11	1.211592e-11
2.387000e+02	9.497677e-11	1.211592e-11
2.452000e+02	6.805237e-11	1.211592e-11
2.516000e+02	1.058659e-10	1.211592e-11
2.581000e+02	3.889147e-11	1.211592e-11
2.645000e+02	5.156497e-11	1.211592e-11
2.710000e+02	6.174057e-11	1.211592e-11
2.774000e+02	7.148407e-11	1.211592e-11
2.839000e+02	8.522967e-11	1.211592e-11
2.903000e+02	3.833318e-11	1.211592e-11
2.968000e+02	4.773877e-11	1.211592e-11
3.032000e+02	1.277228e-11	1.211592e-11
3.097000e+02	1.734787e-11	1.211592e-11
3.161000e+02	1.219138e-11	1.211592e-11
3.226000e+02	7.716970e-12	1.211592e-11
3.290000e+02	-4.249522e-12	1.211592e-11
3.355000e+02	1.669607e-11	1.211592e-11
3.419000e+02	5.559579e-12	1.211592e-11
3.484000e+02	-1.667483e-11	1.211592e-11
3.548000e+02	-2.115132e-11	1.211592e-11
