Ion signal for P950-InO2 2, m/z=81
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-1.750981e-11	5.272343e-12
6.400000e+00	1.250011e-12	5.272343e-12
1.290000e+01	6.829529e-12	5.272343e-12
1.940000e+01	4.476046e-12	5.272343e-12
2.580000e+01	-6.424137e-12	5.272343e-12
3.230000e+01	-6.412620e-12	5.272343e-12
3.870000e+01	-4.088030e-13	5.272343e-12
4.520000e+01	6.410714e-12	5.272343e-12
5.160000e+01	-2.676469e-12	5.272343e-12
5.810000e+01	-3.269515e-13	5.272343e-12
6.450000e+01	5.414866e-12	5.272343e-12
7.100000e+01	-2.973617e-12	5.272343e-12
7.740000e+01	-8.778800e-12	5.272343e-12
8.390000e+01	3.750717e-12	5.272343e-12
9.030000e+01	2.480534e-12	5.272343e-12
9.680000e+01	-3.111949e-12	5.272343e-12
1.032000e+02	-1.491913e-11	5.272343e-12
1.097000e+02	4.965386e-12	5.272343e-12
1.161000e+02	-9.617974e-13	5.272343e-12
1.226000e+02	-5.230280e-12	5.272343e-12
1.290000e+02	-9.123463e-12	5.272343e-12
1.355000e+02	-1.439395e-11	5.272343e-12
1.419000e+02	-1.228613e-11	5.272343e-12
1.484000e+02	8.269388e-12	5.272343e-12
1.548000e+02	6.500205e-12	5.272343e-12
1.613000e+02	-5.105277e-12	5.272343e-12
1.677000e+02	-4.374604e-13	5.272343e-12
1.742000e+02	5.843057e-12	5.272343e-12
1.806000e+02	-1.492613e-11	5.272343e-12
1.871000e+02	-1.837609e-12	5.272343e-12
1.935000e+02	-4.834792e-12	5.272343e-12
2.000000e+02	-2.038275e-12	5.272343e-12
2.065000e+02	5.322243e-12	5.272343e-12
2.129000e+02	3.770596e-13	5.272343e-12
2.194000e+02	-6.952423e-12	5.272343e-12
2.258000e+02	1.085394e-12	5.272343e-12
2.323000e+02	1.659591e-11	5.272343e-12
2.387000e+02	5.447281e-13	5.272343e-12
2.452000e+02	-1.752275e-11	5.272343e-12
2.516000e+02	-7.979376e-13	5.272343e-12
2.581000e+02	-1.907420e-12	5.272343e-12
2.645000e+02	-1.652960e-11	5.272343e-12
2.710000e+02	-7.138086e-12	5.272343e-12
2.774000e+02	3.947731e-12	5.272343e-12
2.839000e+02	9.939248e-12	5.272343e-12
2.903000e+02	-9.480935e-12	5.272343e-12
2.968000e+02	8.706582e-12	5.272343e-12
3.032000e+02	9.673399e-12	5.272343e-12
3.097000e+02	-1.071708e-11	5.272343e-12
3.161000e+02	5.597734e-12	5.272343e-12
3.226000e+02	-1.170749e-12	5.272343e-12
3.290000e+02	-4.302932e-12	5.272343e-12
3.355000e+02	6.884585e-12	5.272343e-12
3.419000e+02	4.507402e-12	5.272343e-12
3.484000e+02	-6.399081e-12	5.272343e-12
3.548000e+02	8.519736e-12	5.272343e-12
