Ion signal for P950-Hf10x4 1, m/z=91
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	-1.002327e-11	1.063726e-11
6.500000e+00	1.733502e-13	1.063726e-11
1.290000e+01	2.289583e-11	1.063726e-11
1.940000e+01	-8.336550e-12	1.063726e-11
2.580000e+01	4.975934e-12	1.063726e-11
3.230000e+01	-9.120450e-12	1.063726e-11
3.870000e+01	-1.152997e-11	1.063726e-11
4.520000e+01	4.730651e-12	1.063726e-11
5.160000e+01	1.632513e-11	1.063726e-11
5.810000e+01	1.513875e-11	1.063726e-11
6.450000e+01	-1.142177e-11	1.063726e-11
7.100000e+01	-4.186149e-12	1.063726e-11
7.740000e+01	-6.791665e-12	1.063726e-11
8.390000e+01	7.982951e-12	1.063726e-11
9.030000e+01	-7.933565e-12	1.063726e-11
9.680000e+01	4.651051e-12	1.063726e-11
1.032000e+02	2.799535e-12	1.063726e-11
1.097000e+02	5.753151e-12	1.063726e-11
1.161000e+02	-4.613650e-13	1.063726e-11
1.226000e+02	6.317251e-12	1.063726e-11
1.291000e+02	1.103787e-11	1.063726e-11
1.355000e+02	-1.499649e-12	1.063726e-11
1.420000e+02	-9.801032e-12	1.063726e-11
1.484000e+02	-1.070855e-11	1.063726e-11
1.549000e+02	-2.638932e-12	1.063726e-11
1.613000e+02	5.502552e-12	1.063726e-11
1.678000e+02	-1.426832e-12	1.063726e-11
1.742000e+02	-1.069835e-11	1.063726e-11
1.807000e+02	2.527268e-12	1.063726e-11
1.871000e+02	-1.090825e-11	1.063726e-11
1.936000e+02	4.363684e-13	1.063726e-11
2.000000e+02	-2.541148e-12	1.063726e-11
2.065000e+02	-7.741532e-12	1.063726e-11
2.129000e+02	1.555952e-12	1.063726e-11
2.194000e+02	5.929569e-12	1.063726e-11
2.258000e+02	-5.461948e-12	1.063726e-11
2.323000e+02	4.574669e-12	1.063726e-11
2.387000e+02	8.512153e-12	1.063726e-11
2.452000e+02	1.170877e-11	1.063726e-11
2.516000e+02	-1.277473e-13	1.063726e-11
2.581000e+02	7.677869e-12	1.063726e-11
2.645000e+02	-1.381465e-11	1.063726e-11
2.710000e+02	-1.029403e-11	1.063726e-11
2.774000e+02	5.569453e-12	1.063726e-11
2.839000e+02	1.045707e-11	1.063726e-11
2.903000e+02	1.133655e-11	1.063726e-11
2.968000e+02	-1.182583e-11	1.063726e-11
3.032000e+02	3.410653e-12	1.063726e-11
3.097000e+02	-1.335173e-11	1.063726e-11
3.161000e+02	-1.767625e-11	1.063726e-11
3.226000e+02	-1.168463e-11	1.063726e-11
3.290000e+02	-9.395147e-12	1.063726e-11
3.355000e+02	5.996470e-12	1.063726e-11
3.419000e+02	-6.864046e-12	1.063726e-11
3.484000e+02	1.120457e-11	1.063726e-11
3.548000e+02	1.362505e-11	1.063726e-11
