Averaged ion signal for P950-Hf15x1, m/z=54
Time (s)	Mean Ion Signal (Torr)	Std (Torr)
0.000000e+00	5.923671e-12	2.248987e-13
6.500000e+00	2.271865e-12	9.189466e-12
1.290000e+01	4.420168e-13	7.384124e-13
1.940000e+01	-3.573289e-12	9.375478e-13
2.580000e+01	-3.586371e-13	1.670926e-12
3.230000e+01	-2.351843e-12	1.000162e-12
3.880000e+01	3.384852e-12	6.010297e-12
4.520000e+01	3.108004e-12	1.381825e-12
5.170000e+01	9.846978e-13	2.008689e-12
5.810000e+01	4.184957e-14	2.989189e-12
6.460000e+01	-2.047956e-12	3.919824e-12
7.100000e+01	2.886696e-12	1.643203e-12
7.750000e+01	3.070390e-12	4.635338e-12
8.390000e+01	6.884542e-12	2.712217e-12
9.040000e+01	1.114236e-12	8.033519e-13
9.680000e+01	6.985388e-12	7.162303e-13
1.033000e+02	1.465821e-13	3.134134e-12
1.097000e+02	3.799734e-12	3.442560e-13
1.162000e+02	5.156428e-12	7.685879e-12
1.226000e+02	3.416080e-12	7.547423e-13
1.291000e+02	1.946774e-12	2.917393e-12
1.355000e+02	4.256926e-12	3.447286e-13
1.420000e+02	-8.698797e-13	1.079093e-12
1.484000e+02	3.211772e-12	6.100285e-12
1.549000e+02	1.427966e-12	2.281920e-12
1.613000e+02	2.441118e-12	1.883201e-12
1.678000e+02	-1.292688e-12	1.027434e-12
1.742000e+02	6.844642e-13	2.197312e-12
1.807000e+02	-9.428415e-13	2.260552e-12
1.871000e+02	4.930310e-12	4.859326e-12
1.936000e+02	1.462105e-12	2.395618e-13
2.000000e+02	-8.578437e-13	1.437340e-12
2.065000e+02	3.384451e-12	3.207075e-12
2.130000e+02	6.464645e-12	2.598289e-12
2.194000e+02	2.689797e-12	4.698589e-12
2.259000e+02	-9.700875e-14	9.962245e-13
2.323000e+02	3.046143e-12	1.237103e-12
2.388000e+02	-8.726627e-13	9.667382e-13
2.452000e+02	2.934489e-12	2.238343e-14
2.517000e+02	2.436834e-13	1.672748e-12
2.581000e+02	4.369335e-12	9.796303e-13
2.646000e+02	1.361029e-12	7.777656e-13
2.710000e+02	6.297181e-12	7.314644e-12
2.775000e+02	1.489876e-12	3.068779e-12
2.839000e+02	5.591027e-12	5.093423e-13
2.904000e+02	-1.297784e-13	1.422707e-12
2.968000e+02	4.604373e-12	1.998829e-12
3.033000e+02	1.050607e-11	2.606933e-13
3.097000e+02	-4.646281e-12	2.792685e-12
3.162000e+02	-1.733586e-12	2.959180e-12
3.226000e+02	-3.137934e-12	1.721988e-13
3.291000e+02	3.721760e-12	8.322666e-12
3.355000e+02	-2.880884e-13	3.739212e-12
3.420000e+02	-9.318941e-13	2.731152e-12
3.484000e+02	-2.316742e-12	6.146726e-12
3.549000e+02	4.693452e-12	4.753362e-12
