Ion signal for P950-Hf10x4 2, m/z=187
Time(s)	Corrected Signal(Torr)	Std(Torr)
0.000000e+00	2.112816e-12	1.225783e-11
6.500000e+00	4.695092e-12	1.225783e-11
1.290000e+01	-1.472311e-11	1.225783e-11
1.940000e+01	1.963107e-11	1.225783e-11
2.580000e+01	1.224777e-11	1.225783e-11
3.230000e+01	-1.424145e-11	1.225783e-11
3.870000e+01	-7.650249e-12	1.225783e-11
4.520000e+01	-1.866627e-11	1.225783e-11
5.160000e+01	3.217730e-12	1.225783e-11
5.810000e+01	-1.008899e-11	1.225783e-11
6.450000e+01	-1.923379e-11	1.225783e-11
7.100000e+01	-9.573016e-12	1.225783e-11
7.740000e+01	-7.540313e-12	1.225783e-11
8.390000e+01	9.993963e-12	1.225783e-11
9.040000e+01	-9.920761e-12	1.225783e-11
9.680000e+01	-1.827556e-11	1.225783e-11
1.033000e+02	1.907217e-12	1.225783e-11
1.097000e+02	-1.561618e-11	1.225783e-11
1.162000e+02	-1.696210e-11	1.225783e-11
1.226000e+02	1.616490e-11	1.225783e-11
1.291000e+02	2.574174e-12	1.225783e-11
1.355000e+02	1.537488e-11	1.225783e-11
1.420000e+02	5.008153e-12	1.225783e-11
1.484000e+02	4.098855e-12	1.225783e-11
1.549000e+02	3.574131e-12	1.225783e-11
1.613000e+02	9.994834e-12	1.225783e-11
1.678000e+02	1.460711e-11	1.225783e-11
1.742000e+02	-1.047719e-11	1.225783e-11
1.807000e+02	4.450880e-13	1.225783e-11
1.871000e+02	-1.402291e-11	1.225783e-11
1.936000e+02	-1.233993e-11	1.225783e-11
2.000000e+02	1.267477e-11	1.225783e-11
2.065000e+02	-5.257955e-12	1.225783e-11
2.129000e+02	-1.760165e-11	1.225783e-11
2.194000e+02	1.430102e-11	1.225783e-11
2.258000e+02	-1.898597e-11	1.225783e-11
2.323000e+02	-1.916160e-11	1.225783e-11
2.387000e+02	-1.190296e-12	1.225783e-11
2.452000e+02	6.724980e-12	1.225783e-11
2.516000e+02	-1.585262e-11	1.225783e-11
2.581000e+02	2.789959e-12	1.225783e-11
2.645000e+02	2.021661e-12	1.225783e-11
2.710000e+02	1.095694e-11	1.225783e-11
2.774000e+02	1.609640e-12	1.225783e-11
2.839000e+02	2.470916e-12	1.225783e-11
2.904000e+02	4.933192e-12	1.225783e-11
2.968000e+02	3.450894e-12	1.225783e-11
3.033000e+02	3.189170e-12	1.225783e-11
3.097000e+02	-3.732127e-12	1.225783e-11
3.162000e+02	1.210715e-11	1.225783e-11
3.226000e+02	-1.309115e-11	1.225783e-11
3.291000e+02	-7.123873e-12	1.225783e-11
3.355000e+02	-1.274317e-11	1.225783e-11
3.420000e+02	1.523111e-11	1.225783e-11
3.484000e+02	4.676808e-12	1.225783e-11
3.549000e+02	1.259408e-11	1.225783e-11
